Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Tissue_type,Sample_Name,Vial_num,Notes,og_order,filt_out
2024,Warm,6,Warm,2,G,24,S,Warm6_Warm2_G24_S,190,,127,
2024,Warm,6,Warm,2,G,24,T,Warm6_Warm2_G24_T,193,,128,
2024,Both,1,Both,3,O,25,S,Both1_Both3_O25_S,38,,129,
2024,Both,1,Both,3,O,25,T,Both1_Both3_O25_T,37,,130,
2024,Both,2,Both,3,O,27,S,Both2_Both3_O27_S,39,,131,
2024,Both,2,Both,3,O,27,T,Both2_Both3_O27_T,32,,132,
2024,Control,4,Both,3,W,31,S,Control4_Both3_W31_S,41,,133,
2024,Control,4,Both,3,W,31,T,Control4_Both3_W31_T,34,,134,
2024,Control,5,Both,3,W,34,S,Control5_Both3_W34_S,44,,135,
2024,Control,5,Both,3,W,34,T,Control5_Both3_W34_T,29,,136,
2024,Hypoxic,1,Both,3,B,25,S,Hypoxic1_Both3_B25_S,45,,137,
2024,Hypoxic,1,Both,3,B,25,T,Hypoxic1_Both3_B25_T,30,,138,
2024,Hypoxic,3,Both,3,B,30,S,Hypoxic3_Both3_B30_S,43,,139,
2024,Hypoxic,3,Both,3,B,30,T,Hypoxic3_Both3_B30_T,35,,140,
2024,Warm,1,Both,3,G,26,S,Warm1_Both3_G26_S,42,,141,
2024,Warm,1,Both,3,G,26,T,Warm1_Both3_G26_T,36,,142,
2024,Warm,2,Both,3,G,28,S,Warm2_Both3_G28_S,40,,143,
2024,Warm,2,Both,3,G,28,T,Warm2_Both3_G28_T,33,,144,
2024,Both,2,Control,3,O,27,S,Both2_Control3_O27_S,252,,145,
2024,Both,2,Control,3,O,27,T,Both2_Control3_O27_T,253,"5/19 AM ended with this one today; clumped, put back into drying oven",146,
2024,Both,6,Control,3,O,35,S,Both6_Control3_O35_S,248,,147,
2024,Both,6,Control,3,O,35,T,Both6_Control3_O35_T,251,,148,
2024,Control,1,Control,3,W,26,S,Control1_Control3_W26_S,246,5/19 SKM started with this one today,149,
2024,Control,1,Control,3,W,26,T,Control1_Control3_W26_T,249,"clumped, put back in drying oven",150,
2024,Control,3,Control,3,W,30,S,Control3_Control3_W30_S,244,,151,
2024,Control,3,Control,3,W,30,T,Control3_Control3_W30_T,245,5/12/2025 SC ended with this one today,152,
2024,Hypoxic,2,Control,3,B,27,S,Hypoxic2_Control3_B27_S,238,,153,
2024,Hypoxic,2,Control,3,B,27,T,Hypoxic2_Control3_B27_T,241,,154,
2024,Hypoxic,5,Control,3,B,33,S,Hypoxic5_Control3_B33_S,247,,155,
2024,Hypoxic,5,Control,3,B,33,T,Hypoxic5_Control3_B33_T,250,,156,
2024,Warm,2,Control,3,G,28,S,Warm2_Control3_G28_S,240,,157,
2024,Warm,2,Control,3,G,28,T,Warm2_Control3_G28_T,243,,158,
2024,Warm,5,Control,3,G,33,S,Warm5_Control3_G33_S,239,,159,
2024,Warm,5,Control,3,G,33,T,Warm5_Control3_G33_T,242,,160,
2024,Both,5,Hypoxic,3,O,32,S,Both5_Hypoxic3_O32_S,,,161,
2024,Both,5,Hypoxic,3,O,32,T,Both5_Hypoxic3_O32_T,,,162,
2024,Both,6,Hypoxic,3,O,34,S,Both6_Hypoxic3_O34_S,,,163,
2024,Both,6,Hypoxic,3,O,34,T,Both6_Hypoxic3_O34_T,,,164,
2024,Control,3,Hypoxic,3,W,30,S,Control3_Hypoxic3_W30_S,,,165,
2024,Control,3,Hypoxic,3,W,30,T,Control3_Hypoxic3_W30_T,,,166,
2024,Control,5,Hypoxic,3,W,34,S,Control5_Hypoxic3_W34_S,,,167,
2024,Control,5,Hypoxic,3,W,34,T,Control5_Hypoxic3_W34_T,,,168,
2024,Hypoxic,2,Hypoxic,3,B,28,S,Hypoxic2_Hypoxic3_B28_S,,,169,
2024,Hypoxic,2,Hypoxic,3,B,28,T,Hypoxic2_Hypoxic3_B28_T,,,170,
2024,Hypoxic,4,Hypoxic,3,B,32,S,Hypoxic4_Hypoxic3_B32_S,,,171,
2024,Hypoxic,4,Hypoxic,3,B,32,T,Hypoxic4_Hypoxic3_B32_T,,,172,
2024,Warm,4,Hypoxic,3,G,32,S,Warm4_Hypoxic3_G32_S,,,173,
2024,Warm,4,Hypoxic,3,G,32,T,Warm4_Hypoxic3_G32_T,,,174,
2024,Warm,6,Hypoxic,3,G,36,S,Warm6_Hypoxic3_G36_S,,,175,
2024,Warm,6,Hypoxic,3,G,36,T,Warm6_Hypoxic3_G36_T,,,176,
2024,Both,2,Warm,3,O,27,S,Both2_Warm3_O27_S,135,,177,
2024,Both,2,Warm,3,O,27,T,Both2_Warm3_O27_T,141,,178,
2024,Both,3,Warm,3,O,29,S,Both3_Warm3_O29_S,158,,179,
2024,Both,3,Warm,3,O,29,T,Both3_Warm3_O29_T,161,,180,
2024,Control,4,Warm,3,W,31,S,Control4_Warm3_W31_S,130,,181,
2024,Control,4,Warm,3,W,31,T,Control4_Warm3_W31_T,133,,182,
2024,Control,5,Warm,3,W,33,S,Control5_Warm3_W33_S,129,SC 3/19 Started with this one today,183,
2024,Control,5,Warm,3,W,33,T,Control5_Warm3_W33_T,132,,184,
2024,Hypoxic,2,Warm,3,B,28,S,Hypoxic2_Warm3_B28_S,131,,185,
2024,Hypoxic,2,Warm,3,B,28,T,Hypoxic2_Warm3_B28_T,134,,186,
2024,Hypoxic,6,Warm,3,B,36,S,Hypoxic6_Warm3_B36_S,136,,187,
2024,Hypoxic,6,Warm,3,B,36,T,Hypoxic6_Warm3_B36_T,140,,188,
2024,Warm,1,Warm,3,G,25,S,Warm1_Warm3_G25_S,142,SC 3/19 Ended with this one today,189,
2024,Warm,1,Warm,3,G,25,T,Warm1_Warm3_G25_T,138,,190,
2024,Warm,3,Warm,3,G,30,S,Warm3_Warm3_G30_S,137,,191,
2024,Warm,3,Warm,3,G,30,T,Warm3_Warm3_G30_T,139,,192,
2024,Both,2,Both,4,O,40,S,Both2_Both4_O40_S,183,3/31 SKM started with this one todsy,193,
2024,Both,2,Both,4,O,40,T,Both2_Both4_O40_T,186,,194,
