og_order,Sample_name,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Gonad,Sex
164,2025_Warm05_Both03_G33,2025,Warm,05,Both,03,G,33,,
165,2025_Hyp02_Both03_B27,2025,Hyp,02,Both,03,B,27,,
166,2025_Hyp04_Both03_B31,2025,Hyp,04,Both,03,B,31,,
167,2025_Both03_Both03_O29,2025,Both,03,Both,03,O,29,,
168,2025_Both05_Both03_O33,2025,Both,05,Both,03,O,33,,
169,2025_Cont02_Both04_W39,2025,Cont,02,Both,04,W,39,,
170,2025_Cont03_Both04_W41,2025,Cont,03,Both,04,W,41,,
171,2025_Warm03_Both04_G41,2025,Warm,03,Both,04,G,41,,
172,2025_Warm04_Both04_G43,2025,Warm,04,Both,04,G,43,,
173,2025_Hyp01_Both04_B37,2025,Hyp,01,Both,04,B,37,,
174,2025_Hyp04_Both04_B44,2025,Hyp,04,Both,04,B,44,,
175,2025_Both02_Both04_O39,2025,Both,02,Both,04,O,39,,
176,2025_Both04_Both04_O43,2025,Both,04,Both,04,O,43,,
177,2025_Cont05_Both05_W57,2025,Cont,05,Both,05,W,57,,
178,2025_Cont06_Both05_W59,2025,Cont,06,Both,05,W,59,,
179,2025_Warm02_Both05_G51,2025,Warm,02,Both,05,G,51,,
180,2025_Warm06_Both05_G59,2025,Warm,06,Both,05,G,59,,
181,2025_Hyp05_Both05_B57,2025,Hyp,05,Both,05,B,57,,
182,2025_Hyp06_Both05_B59,2025,Hyp,06,Both,05,B,59,,
183,2025_Both03_Both05_O53,2025,Both,03,Both,05,O,53,,
184,2025_Both04_Both05_O55,2025,Both,04,Both,05,O,55,,
185,2025_Cont01_Both06_W61,2025,Cont,01,Both,06,W,61,,
186,2025_Cont04_Both06_W67,2025,Cont,04,Both,06,W,67,,
187,2025_Warm03_Both06_G66,2025,Warm,03,Both,06,G,66,,
188,2025_Warm05_Both06_G69,2025,Warm,05,Both,06,G,69,,
189,2025_Hyp03_Both06_B65,2025,Hyp,03,Both,06,B,65,,
190,2025_Hyp05_Both06_B69,2025,Hyp,05,Both,06,B,69,,
191,2025_Both01_Both06_O61,2025,Both,01,Both,06,O,61,,
192,2025_Both06_Both06_O71,2025,Both,06,Both,06,O,71,,
