Sample_Name_Nutrients,Linear corr d15N,wt %N,N_Notes,Linear corr d13C,wt %C,C_Notes,N_Exclude,
Both05 W53 T,12.2,4.0,small peak - error on δ15N will be higher,-27.0,63.0,,,
Both05 G51 T,12.7,5.9,small peak - error on δ15N will be higher,-25.8,48.9,,,
Both05 W57 T,12.9,6.2,small peak - error on δ15N will be higher,-25.0,49.1,,,
Both06 B65 T,12.9,8.7,,-22.5,38.3,,,
Both06 G69 T,12.6,8.1,,-24.8,49.7,,,
Both06 W63 T,12.5,7.4,small peak - error on δ15N will be higher,-25.6,53.1,,,
Both06 B69 T,12.4,6.3,small peak - error on δ15N will be higher,-25.7,52.1,,,
Both06 O72 T,13.0,9.2,,-22.5,38.2,,,
Both06 G66 T,13.0,4.0,small peak - error on δ15N will be higher,-27.8,70.5,,,
Both06 O63 T,12.7,6.6,,-26.0,56.3,,,
Both06 W67 T,11.9,1.9,small peak - error on δ15N will be higher,-28.4,77.8,,,
