Sample_Name_Nutrients,Phase_2_treat,Phase_2_rep,Phase_2_rep_R,Tissue_type,Tag,Tag_color,Tag_num,Linear corr d15N,wt_percent_n,N_Notes,Linear corr d13C,wt_percent_c,C_Notes,N_Exclude,
Hyp04 B45 T,Hyp,04,Hyp04,T,B45,B,45,12.5,8.3,,-24.2,48.9,,,
Hyp04 G39 T,Hyp,04,Hyp04,T,G39,G,39,14.5,3.9,small peak - error on δ15N will be higher,-27.1,67.9,,,
Hyp04 O47 T,Hyp,04,Hyp04,T,O47,O,47,13,3,small peak - error on δ15N will be higher,-27.8,72.4,,,
Hyp04 B39 T,Hyp,04,Hyp04,T,B39,B,39,12.3,6.5,,-24.8,47.3,,,
Hyp05 O57 T,Hyp,05,Hyp05,T,O57,O,57,12.1,7.5,,-20.5,36.2,,,
Hyp05 O53 T,Hyp,05,Hyp05,T,O53,O,53,12.6,9,,-21.3,39.2,,,
Hyp05 B55 T,Hyp,05,Hyp05,T,B55,B,55,12.9,10.5,,-21.8,43.8,,,
Hyp05 W51 T,Hyp,05,Hyp05,T,W51,W,51,12.3,8,,-21.1,37.8,,,
Hyp05 B57 T,Hyp,05,Hyp05,T,B57,B,57,12.7,9.4,,-21.9,42.2,,,
Hyp05 G54 T,Hyp,05,Hyp05,T,G54,G,54,13,7.5,,-24.4,52.6,,,
Hyp05 G58 T,Hyp,05,Hyp05,T,G58,G,58,12,5.9,small peak - error on δ15N will be higher,-22.5,39.3,,,
Hyp05 W49 T,Hyp,05,Hyp05,T,W49,W,49,12.6,8.2,,-23.1,45.2,,,
Hyp06 W71 T,Hyp,06,Hyp06,T,W71,W,71,12.9,6.8,small peak - error on δ15N will be higher,-24.9,49.3,,,
Hyp06 B62 T,Hyp,06,Hyp06,T,B62,B,62,13.5,9.4,,-23.2,43,,,
Hyp06 G67 T,Hyp,06,Hyp06,T,G67,G,67,12.9,2.8,small peak - error on δ15N will be higher,-27.4,72.9,,,
Hyp06 O65 T,Hyp,06,Hyp06,T,O65,O,65,12.5,6,small peak - error on δ15N will be higher,-24.9,51.2,,,
Hyp06 O63 T,Hyp,06,Hyp06,T,O63,O,63,12.4,7.4,,-24.7,50.1,,,
Hyp06 B72 T,Hyp,06,Hyp06,T,B72,B,72,13.1,3.4,small peak - error on δ15N will be higher,-27.4,87.5,,,
Hyp06 W69 T,Hyp,06,Hyp06,T,W69,W,69,12.2,8,,-23.9,45.4,,,
Hyp06 G70 T,Hyp,06,Hyp06,T,G70,G,70,12.7,7.5,,-23.7,44.4,,,
Both01 B11 T,Both,01,Both01,T,B11,B,11,12.3,4.7,small peak - error on δ15N will be higher,-26.1,57.3,,,
Both01 G12 T,Both,01,Both01,T,G12,G,12,11.9,5.4,small peak - error on δ15N will be higher,-25.9,59.2,,,
Both01 W9 T,Both,01,Both01,T,W9,W,9,12.4,6.6,small peak - error on δ15N will be higher,-25.3,52.9,,,
Both01 W5 T,Both,01,Both01,T,W5,W,5,11.6,6.7,,-23.6,39.1,,,
Both01 B1 T,Both,01,Both01,T,B1,B,1,12.8,5.9,,-25.7,59.4,,,
Both01 G2 T,Both,01,Both01,T,G2,G,2,13.5,6.6,,-25.3,56.6,,,
Both01 O9 T,Both,01,Both01,T,O9,O,9,12.5,7,small peak - error on δ15N will be higher,-25.3,54.6,,,
Both01 O11 T,Both,01,Both01,T,O11,O,11,12.5,8,,-23.4,42,,,
Both02 O15 T,Both,02,Both02,T,O15,O,15,12.7,8.3,,-24.4,49.6,,,
Both02 W13 T,Both,02,Both02,T,W13,W,13,12.7,9.3,,-23.9,47.3,,,
Both02 W20 T,Both,02,Both02,T,W20,W,20,12.8,4.1,small peak - error on δ15N will be higher,-27.1,69.1,,,
Both02 G19 T,Both,02,Both02,T,G19,G,19,12.8,7,,-25.6,55.9,,,
Both02 B17 T,Both,02,Both02,T,B17,B,17,12.2,6.7,,-23.7,36.9,,,
Both02 B15 T,Both,02,Both02,T,B15,B,15,12.6,8,,-23.8,44,,,
Both02 G13 T,Both,02,Both02,T,G13,G,13,12.9,6.9,small peak - error on δ15N will be higher,-25.8,54.2,,,
Both03 W27 T,Both,03,Both03,T,W27,W,27,12.3,6.4,small peak - error on δ15N will be higher,-25.2,51,,,
Both03 O29 T,Both,03,Both03,T,O29,O,29,11.9,5.5,small peak - error on δ15N will be higher,-25.5,45,,,
Both03 B27 T,Both,03,Both03,T,B27,B,27,13.2,6.3,small peak - error on δ15N will be higher,-25.6,50.5,,,
Both03 O33 T,Both,03,Both03,T,O33,O,33,13.5,3.2,small peak - error on δ15N will be higher,-27.8,72.5,,,
Both03 B31 T,Both,03,Both03,T,B31,B,31,12.6,6.3,small peak - error on δ15N will be higher,-26.3,60.1,,,
Both03 G31 T,Both,03,Both03,T,G31,G,31,12.4,6.5,small peak - error on δ15N will be higher,-24.2,44.7,,,
Both03 G33 T,Both,03,Both03,T,G33,G,33,12.2,5.3,small peak - error on δ15N will be higher,-26.1,47.9,,,
Both03 W35 T,Both,03,Both03,T,W35,W,35,12.4,6.4,small peak - error on δ15N will be higher,-25.6,46.2,,,
Both04 B37 T,Both,04,Both04,T,B37,B,37,12.3,9,,-23.4,43.4,,,
Both04 G41 T,Both,04,Both04,T,G41,G,41,12.1,7.1,small peak - error on δ15N will be higher,-24.9,50.9,,,
Both04 W39 T,Both,04,Both04,T,W39,W,39,12.8,8.2,,-23.3,40,,,
Both04 W41 T,Both,04,Both04,T,W41,W,41,13,7.5,,-22.9,33.6,,,
Both04 O43 T,Both,04,Both04,T,O43,O,43,12.6,8,,-23.2,40.3,,,
Both04 O39 T,Both,04,Both04,T,O39,O,39,12.5,3.7,small peak - error on δ15N will be higher,-27.5,68.5,,,
Both04 G43 T,Both,04,Both04,T,G43,G,43,12.5,6.5,,-21,31.6,,,
Both04 B44 T,Both,04,Both04,T,B44,B,44,13.5,4.4,small peak - error on δ15N will be higher,-27.4,68.1,,,
Both05 B57 T,Both,05,Both05,T,B57,B,57,12.6,8.4,,-25.3,61.2,,,
Both05 G59 T,Both,05,Both05,T,G59,G,59,12.9,7.4,,-23.4,43.7,,,
Both05 O53 T,Both,05,Both05,T,O53,O,53,12.6,2.6,small peak - error on δ15N will be higher,-28.1,76.7,,,
Both05 O55 T,Both,05,Both05,T,O55,O,55,12.4,6.9,,-25.4,55.6,,,
Both05 W53 T,Both,05,Both05,T,W53,W,53,12.2,4,small peak - error on δ15N will be higher,-27,63,,,
Both05 G51 T,Both,05,Both05,T,G51,G,51,12.7,5.9,small peak - error on δ15N will be higher,-25.8,48.9,,,
Both05 W57 T,Both,05,Both05,T,W57,W,57,12.9,6.2,small peak - error on δ15N will be higher,-25,49.1,,,
Both06 B65 T,Both,06,Both06,T,B65,B,65,12.9,8.7,,-22.5,38.3,,,
Both06 G69 T,Both,06,Both06,T,G69,G,69,12.6,8.1,,-24.8,49.7,,,
Both06 W63 T,Both,06,Both06,T,W63,W,63,12.5,7.4,small peak - error on δ15N will be higher,-25.6,53.1,,,
Both06 B69 T,Both,06,Both06,T,B69,B,69,12.4,6.3,small peak - error on δ15N will be higher,-25.7,52.1,,,
Both06 O72 T,Both,06,Both06,T,O72,O,72,13,9.2,,-22.5,38.2,,,
Both06 G66 T,Both,06,Both06,T,G66,G,66,13,4,small peak - error on δ15N will be higher,-27.8,70.5,,,
Both06 O63 T,Both,06,Both06,T,O63,O,63,12.7,6.6,,-26,56.3,,,
Both06 W67 T,Both,06,Both06,T,W67,W,67,11.9,1.9,small peak - error on δ15N will be higher,-28.4,77.8,,,
Cont01 B12 S,Cont,01,Cont01,S,B12,B,12,15,0.1,small peak - error on δ15N will be higher,-7.4,15.9,,,
Cont02 G23 S,Cont,02,Cont02,S,G23,G,23,13.5,0.1,small peak - error on δ15N will be higher,-7.3,15.7,,,
Cont02 W22 S,Cont,02,Cont02,S,W22,W,22,13.2,0.1,small peak - error on δ15N will be higher,-5.8,14.8,,,
Cont02 O22 S,Cont,02,Cont02,S,O22,O,22,13.2,0.1,small peak - error on δ15N will be higher,-8.9,17.2,,,
Cont02 O18 S,Cont,02,Cont02,S,O18,O,18,12.8,0.1,small peak - error on δ15N will be higher,-4.8,14.1,,,
Cont02 G13 S,Cont,02,Cont02,S,G13,G,13,13.9,0.4,,-8.7,17,,,
Cont02 G17 S,Cont,02,Cont02,S,G17,G,17,13,0.1,small peak - error on δ15N will be higher,-5.8,14.8,,,
Cont02 W23 S,Cont,02,Cont02,S,W23,W,23,12.5,0.1,small peak - error on δ15N will be higher,-8.6,17.1,,,
Cont02 B19 S,Cont,02,Cont02,S,B19,B,19,12.2,0.2,small peak - error on δ15N will be higher,-9.6,17.9,,,
Cont02 B15 S,Cont,02,Cont02,S,B15,B,15,12,0.1,small peak - error on δ15N will be higher,-6.9,15.8,,,
Cont03 B29 S,Cont,03,Cont03,S,B29,B,29,13,0.1,small peak - error on δ15N will be higher,-7.3,15.8,,,
Cont03 W31 S,Cont,03,Cont03,S,W31,W,31,11.8,0.1,small peak - error on δ15N will be higher,-7.2,15.8,,,
Cont03 W28 S,Cont,03,Cont03,S,W28,W,28,10.7,0.3,,-7.7,16.3,,,
Cont03 W29 S,Cont,03,Cont03,S,W29,W,29,11.5,0.2,,-9.2,17.4,,,
Cont03 G27 S,Cont,03,Cont03,S,G27,G,27,13.2,0.1,small peak - error on δ15N will be higher,-6.9,15.3,,,
Cont03 G34 S,Cont,03,Cont03,S,G34,G,34,12.6,0.1,small peak - error on δ15N will be higher,-5.2,14.5,,,
Cont03 O36 S,Cont,03,Cont03,S,O36,O,36,11.9,0.2,,-7.2,15.7,,,
Cont03 O34 S,Cont,03,Cont03,S,O34,O,34,12.9,0.1,small peak - error on δ15N will be higher,-9.5,17.5,,,
Cont03 B34 S,Cont,03,Cont03,S,B34,B,34,12.6,0.2,,-7.1,15.4,,,
Cont03 B25 S,Cont,03,Cont03,S,B25,B,25,12.2,0.1,small peak - error on δ15N will be higher,-8.1,16.2,,,
Cont03 G26 S,Cont,03,Cont03,S,G26,G,26,11.5,0.2,small peak - error on δ15N will be higher,-10.4,18.4,,,
Cont04 W39 S,Cont,04,Cont04,S,W39,W,39,11.7,0.2,small peak - error on δ15N will be higher,-8.6,16.7,,,
Cont04 O42 S,Cont,04,Cont04,S,O42,O,42,11.6,0.1,small peak - error on δ15N will be higher,-6.9,15.5,,,
Cont04 O44 S,Cont,04,Cont04,S,O44,O,44,11.2,0.2,small peak - error on δ15N will be higher,-6.8,15.2,,,
