Vial_num,linear_corr_d15n,wt_percent_n,n_notes,linear_corr_d13c,wt_percent_c,c_notes,n_exclude,c_exclude,Year,Phase_1_treat,Phase_1_rep,Phase_1_rep_R,Phase_2_treat,Phase_2_rep,Phase_2_rep_R,Tag_color,Tag_num,Tissue_type,Sample_Name,Notes,Phase_1_DO,Phase_1_temp,Phase_2.1_DO,Phase_2.1_temp
12,11.7,0.2,NA,-8.8,16.9,NA,NA,NA,2024,Warm,5,Warm5,Warm,6,Warm6,G,69,S,2024_Warm05_Warm06_G69_S,NA,Norm,Warm,Norm,Warm
13,12.4,7.6,NA,-25.5,48.7,NA,NA,NA,2024,Cont,4,Cont4,Warm,6,Warm6,W,67,T,2024_Cont04_Warm06_W67_T,NA,Norm,Ambient,Norm,Warm
14,10.2,5.6,small peak - error on δ15N will be higher,-26.8,59.6,NA,NA,NA,2024,Hyp,1,Hyp1,Warm,6,Warm6,B,61,T,2024_Hyp01_Warm06_B61_T,NA,Hyp,Ambient,Norm,Warm
15,11.8,0.3,NA,-8.4,16.4,NA,NA,NA,2024,Cont,4,Cont4,Warm,6,Warm6,W,67,S,2024_Cont04_Warm06_W67_S,NA,Norm,Ambient,Norm,Warm
16,10.8,0.2,NA,-8.7,16.9,NA,NA,NA,2024,Hyp,1,Hyp1,Warm,6,Warm6,B,61,S,2024_Hyp01_Warm06_B61_S,NA,Hyp,Ambient,Norm,Warm
17,11.8,7.1,NA,-25.6,47.4,NA,NA,NA,2024,Both,3,Both3,Both,6,Both6,O,65,T,2024_Both03_Both06_O65_T,NA,Hyp,Warm,Hyp,Warm
18,11.9,7,small peak - error on δ15N will be higher,-26,49.9,NA,NA,NA,2024,Warm,4,Warm4,Both,6,Both6,G,67,T,2024_Warm04_Both06_G67_T,NA,Norm,Warm,Hyp,Warm
19,11.9,7.9,NA,-25.9,50.6,NA,NA,NA,2024,Warm,3,Warm3,Both,6,Both6,G,65,T,2024_Warm03_Both06_G65_T,NA,Norm,Warm,Hyp,Warm
20,11.4,0.2,NA,-9,17.1,NA,NA,NA,2024,Warm,3,Warm3,Both,6,Both6,G,65,S,2024_Warm03_Both06_G65_S,NA,Norm,Warm,Hyp,Warm
21,8.4,0.3,NA,-7,15.5,NA,NA,NA,2024,Both,3,Both3,Both,6,Both6,O,65,S,2024_Both03_Both06_O65_S,NA,Hyp,Warm,Hyp,Warm
22,10.2,0.2,small peak - error on δ15N will be higher,-7.7,16.2,NA,NA,NA,2024,Warm,4,Warm4,Both,6,Both6,G,67,S,2024_Warm04_Both06_G67_S,NA,Norm,Warm,Hyp,Warm
23,12.2,9.5,NA,-24.1,41.4,NA,NA,NA,2024,Cont,1,Cont1,Both,6,Both6,W,62,T,2024_Cont01_Both06_W62_T,NA,Norm,Ambient,Hyp,Warm
24,12.5,9.3,NA,-24.4,42.1,NA,NA,NA,2024,Both,1,Both1,Both,6,Both6,O,62,T,2024_Both01_Both06_O62_T,NA,Hyp,Warm,Hyp,Warm
25,8.8,4.3,very small peak - δ15N data unusable,-26.1,40.3,small peak - error on δ13C will be higher,Y,NA,2024,Cont,5,Cont5,Both,6,Both6,W,69,T,2024_Cont05_Both06_W69_T,NA,Norm,Ambient,Hyp,Warm
26,10.2,0.1,small peak - error on δ15N will be higher,-10,17.9,NA,NA,NA,2024,Both,1,Both1,Both,6,Both6,O,62,S,2024_Both01_Both06_O62_S,NA,Hyp,Warm,Hyp,Warm
27,13,0.2,NA,-7.9,16.1,NA,NA,NA,2024,Cont,5,Cont5,Both,6,Both6,W,69,S,2024_Cont05_Both06_W69_S,NA,Norm,Ambient,Hyp,Warm
28,11.7,0.2,NA,-11.1,18.9,NA,NA,NA,2024,Cont,1,Cont1,Both,6,Both6,W,62,S,2024_Cont01_Both06_W62_S,NA,Norm,Ambient,Hyp,Warm
29,12.5,8.8,NA,-24.2,39.9,NA,NA,NA,2024,Cont,5,Cont5,Both,3,Both3,W,34,T,2024_Cont05_Both03_W34_T,NA,Norm,Ambient,Hyp,Warm
30,12.1,9.1,NA,-25.1,45.2,NA,NA,NA,2024,Hyp,1,Hyp1,Both,3,Both3,B,25,T,2024_Hyp01_Both03_B25_T,NA,Hyp,Ambient,Hyp,Warm
31,12,9,NA,-25.3,46.9,NA,NA,NA,2024,Hyp,2,Hyp2,Both,6,Both6,B,64,T,2024_Hyp02_Both06_B64_T,NA,Hyp,Ambient,Hyp,Warm
32,12.1,6.9,small peak - error on δ15N will be higher,-26.7,57.1,NA,NA,NA,2024,Both,2,Both2,Both,3,Both3,O,27,T,2024_Both02_Both03_O27_T,NA,Hyp,Warm,Hyp,Warm
33,12.4,6.8,NA,-26.1,51.4,NA,NA,NA,2024,Warm,2,Warm2,Both,3,Both3,G,28,T,2024_Warm02_Both03_G28_T,NA,Norm,Warm,Hyp,Warm
34,12.3,7,NA,-25.8,48.7,NA,NA,NA,2024,Cont,4,Cont4,Both,3,Both3,W,31,T,2024_Cont04_Both03_W31_T,NA,Norm,Ambient,Hyp,Warm
35,12,5.5,small peak - error on δ15N will be higher,-24.8,37.7,NA,NA,NA,2024,Hyp,3,Hyp3,Both,3,Both3,B,30,T,2024_Hyp03_Both03_B30_T,NA,Hyp,Ambient,Hyp,Warm
36,12.2,8.5,NA,-24.6,44.2,NA,NA,NA,2024,Warm,1,Warm1,Both,3,Both3,G,26,T,2024_Warm01_Both03_G26_T,NA,Norm,Warm,Hyp,Warm
37,9.9,4,very small peak - δ15N data unusable,-27.5,62.2,NA,Y,NA,2024,Both,1,Both1,Both,3,Both3,O,25,T,2024_Both01_Both03_O25_T,NA,Hyp,Warm,Hyp,Warm
38,11,0.2,NA,-10,17.8,NA,NA,NA,2024,Both,1,Both1,Both,3,Both3,O,25,S,2024_Both01_Both03_O25_S,NA,Hyp,Warm,Hyp,Warm
39,11.4,0.2,NA,-10.1,17.7,NA,NA,NA,2024,Both,2,Both2,Both,3,Both3,O,27,S,2024_Both02_Both03_O27_S,NA,Hyp,Warm,Hyp,Warm
40,10.8,0.2,NA,-8.6,16.7,NA,NA,NA,2024,Warm,2,Warm2,Both,3,Both3,G,28,S,2024_Warm02_Both03_G28_S,NA,Norm,Warm,Hyp,Warm
41,12.2,0.2,NA,-9.4,17.3,NA,NA,NA,2024,Cont,4,Cont4,Both,3,Both3,W,31,S,2024_Cont04_Both03_W31_S,NA,Norm,Ambient,Hyp,Warm
42,11.1,0.2,NA,-10.2,17.9,NA,NA,NA,2024,Warm,1,Warm1,Both,3,Both3,G,26,S,2024_Warm01_Both03_G26_S,NA,Norm,Warm,Hyp,Warm
43,10.5,0.2,NA,-7.9,16.1,NA,NA,NA,2024,Hyp,3,Hyp3,Both,3,Both3,B,30,S,2024_Hyp03_Both03_B30_S,NA,Hyp,Ambient,Hyp,Warm
44,12.5,0.3,NA,-9.4,16.1,NA,NA,NA,2024,Cont,5,Cont5,Both,3,Both3,W,34,S,2024_Cont05_Both03_W34_S,NA,Norm,Ambient,Hyp,Warm
45,11.9,0.2,NA,-9.5,16.2,NA,NA,NA,2024,Hyp,1,Hyp1,Both,3,Both3,B,25,S,2024_Hyp01_Both03_B25_S,NA,Hyp,Ambient,Hyp,Warm
46,10.2,0.2,NA,-8.9,16,NA,NA,NA,2024,Hyp,5,Hyp5,Both,6,Both6,B,70,S,2024_Hyp05_Both06_B70_S,NA,Hyp,Ambient,Hyp,Warm
47,11.8,9,NA,-24.7,43.9,NA,NA,NA,2024,Hyp,5,Hyp5,Both,6,Both6,B,70,T,2024_Hyp05_Both06_B70_T,NA,Hyp,Ambient,Hyp,Warm
48,12.4,8.1,NA,-25.8,48.9,NA,NA,NA,2024,Hyp,4,Hyp4,Cont,6,Cont6,B,68,T,2024_Hyp04_Cont06_B68_T,NA,Hyp,Ambient,Norm,Ambient
49,12.1,9.1,NA,-24.6,41.7,NA,NA,NA,2024,Cont,2,Cont2,Cont,6,Cont6,W,63,T,2024_Cont02_Cont06_W63_T,NA,Norm,Ambient,Norm,Ambient
50,11.1,0.2,NA,-9.5,16.4,NA,NA,NA,2024,Hyp,2,Hyp2,Both,6,Both6,B,64,S,2024_Hyp02_Both06_B64_S,NA,Hyp,Ambient,Hyp,Warm
51,12.5,0.2,NA,-7.7,15.3,NA,NA,NA,2024,Hyp,4,Hyp4,Cont,6,Cont6,B,68,S,2024_Hyp04_Cont06_B68_S,NA,Hyp,Ambient,Norm,Ambient
52,11.9,0.1,NA,-8.9,16.5,NA,NA,NA,2024,Both,2,Both2,Cont,6,Cont6,O,63,S,2024_Both02_Cont06_O63_S,NA,Hyp,Warm,Norm,Ambient
53,11.4,5.2,small peak - error on δ15N will be higher,-25.4,56.6,NA,NA,NA,2024,Cont,6,Cont6,Cont,6,Cont6,W,72,T,2024_Cont06_Cont06_W72_T,NA,Norm,Ambient,Norm,Ambient
54,11.4,5.9,small peak - error on δ15N will be higher,-24.4,45,NA,NA,NA,2024,Warm,4,Warm4,Cont,6,Cont6,G,67,T,2024_Warm04_Cont06_G67_T,NA,Norm,Warm,Norm,Ambient
55,12.1,9.2,NA,-24,39,NA,NA,NA,2024,Warm,2,Warm2,Cont,6,Cont6,G,63,T,2024_Warm02_Cont06_G63_T,NA,Norm,Warm,Norm,Ambient
56,11,0.1,NA,-8,15.7,NA,NA,NA,2024,Cont,6,Cont6,Cont,6,Cont6,W,72,S,2024_Cont06_Cont06_W72_S,NA,Norm,Ambient,Norm,Ambient
57,11.5,0.2,NA,-9.2,16.5,NA,NA,NA,2024,Warm,4,Warm4,Cont,6,Cont6,G,67,S,2024_Warm04_Cont06_G67_S,NA,Norm,Warm,Norm,Ambient
58,11.4,0.2,NA,-10.1,17.5,NA,NA,NA,2024,Hyp,3,Hyp3,Cont,6,Cont6,B,66,S,2024_Hyp03_Cont06_B66_S,NA,Hyp,Ambient,Norm,Ambient
59,12.2,8.9,NA,-24.6,43.9,NA,NA,NA,2024,Both,4,Both4,Cont,6,Cont6,O,67,T,2024_Both04_Cont06_O67_T,NA,Hyp,Warm,Norm,Ambient
60,11.1,4.3,small peak - error on δ15N will be higher,-25.7,59.2,NA,NA,NA,2024,Hyp,3,Hyp3,Cont,6,Cont6,B,66,T,2024_Hyp03_Cont06_B66_T,NA,Hyp,Ambient,Norm,Ambient
61,11.4,5.9,small peak - error on δ15N will be higher,-25.3,54.5,NA,NA,NA,2024,Both,2,Both2,Cont,6,Cont6,O,63,T,2024_Both02_Cont06_O63_T,NA,Hyp,Warm,Norm,Ambient
62,8,0.2,NA,-9.5,17,NA,NA,NA,2024,Cont,2,Cont2,Cont,6,Cont6,W,63,S,2024_Cont02_Cont06_W63_S,NA,Norm,Ambient,Norm,Ambient
63,10.8,0.2,NA,-9.3,16.7,NA,NA,NA,2024,Warm,2,Warm2,Cont,6,Cont6,G,63,S,2024_Warm02_Cont06_G63_S,NA,Norm,Warm,Norm,Ambient
64,11.5,0.2,NA,-6.6,14.7,NA,NA,NA,2024,Both,4,Both4,Cont,6,Cont6,O,67,S,2024_Both04_Cont06_O67_S,NA,Hyp,Warm,Norm,Ambient
65,12.4,9.6,NA,-24.1,40.7,NA,NA,NA,2024,Both,4,Both4,Both,5,Both5,O,56,T,2024_Both04_Both05_O56_T,NA,Hyp,Warm,Hyp,Warm
66,12.3,10.2,NA,-24.1,41,NA,NA,NA,2024,Cont,2,Cont2,Both,5,Both5,W,52,T,2024_Cont02_Both05_W52_T,NA,Norm,Ambient,Hyp,Warm
67,12.1,10.1,NA,-24.4,41.4,NA,NA,NA,2024,Hyp,5,Hyp5,Both,5,Both5,B,58,T,2024_Hyp05_Both05_B58_T,NA,Hyp,Ambient,Hyp,Warm
68,11,0.2,NA,-9.3,16.6,NA,NA,NA,2024,Both,4,Both4,Both,5,Both5,O,56,S,2024_Both04_Both05_O56_S,NA,Hyp,Warm,Hyp,Warm
69,11.3,0.2,NA,-8.8,16.1,NA,NA,NA,2024,Hyp,5,Hyp5,Both,5,Both5,B,58,S,2024_Hyp05_Both05_B58_S,NA,Hyp,Ambient,Hyp,Warm
70,11.6,0.2,NA,-9,16.4,NA,NA,NA,2024,Cont,2,Cont2,Both,5,Both5,W,52,S,2024_Cont02_Both05_W52_S,NA,Norm,Ambient,Hyp,Warm
71,11.2,0.2,NA,-8.5,15.9,NA,NA,NA,2024,Warm,6,Warm6,Both,5,Both5,G,60,S,2024_Warm06_Both05_G60_S,NA,Norm,Warm,Hyp,Warm
72,13.3,0.2,NA,-9.9,17.1,NA,NA,NA,2024,Hyp,1,Hyp1,Both,5,Both5,B,49,S,2024_Hyp01_Both05_B49_S,NA,Hyp,Ambient,Hyp,Warm
73,10.4,0.2,NA,-9.1,16.6,NA,NA,NA,2024,Cont,3,Cont3,Both,5,Both5,W,54,S,2024_Cont03_Both05_W54_S,NA,Norm,Ambient,Hyp,Warm
74,12.7,9.1,NA,-24,40.9,NA,NA,NA,2024,Cont,3,Cont3,Both,5,Both5,W,54,T,2024_Cont03_Both05_W54_T,NA,Norm,Ambient,Hyp,Warm
75,12.9,10.2,NA,-24.1,43.4,NA,NA,NA,2024,Hyp,1,Hyp1,Both,5,Both5,B,49,T,2024_Hyp01_Both05_B49_T,NA,Hyp,Ambient,Hyp,Warm
76,12.1,9.5,NA,-24.5,41,NA,NA,NA,2024,Warm,6,Warm6,Both,5,Both5,G,60,T,2024_Warm06_Both05_G60_T,NA,Norm,Warm,Hyp,Warm
77,12.4,9.7,NA,-23.6,40.1,NA,NA,NA,2024,Cont,6,Cont6,Both,1,Both1,W,12,T,2024_Cont06_Both01_W12_T,"2/12 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/14 SC rehomogenized and all set now.",Norm,Ambient,Hyp,Warm
78,11.9,7.8,NA,-24,38.8,NA,NA,NA,2024,Cont,2,Cont2,Both,1,Both1,W,3,T,2024_Cont02_Both01_W3_T,"2/12 SC When I tried to homogenize the tissue samples, they are clumping in the tube: not yet dry and homogenizer tubes put into the drying oven. 2/14 SC rehomogenized and all set now.",Norm,Ambient,Hyp,Warm
79,12,8.3,NA,-24.7,44.3,NA,NA,NA,2024,Warm,4,Warm4,Both,1,Both1,G,7,T,2024_Warm04_Both01_G7_T,"2/12 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/14 SC rehomogenized and all set now.",Norm,Warm,Hyp,Warm
80,11.7,0.2,NA,-7.4,15.1,NA,NA,NA,2024,Cont,6,Cont6,Both,1,Both1,W,12,S,2024_Cont06_Both01_W12_S,NA,Norm,Ambient,Hyp,Warm
81,11.6,0.2,NA,-7.7,15.4,NA,NA,NA,2024,Cont,2,Cont2,Both,1,Both1,W,3,S,2024_Cont02_Both01_W3_S,NA,Norm,Ambient,Hyp,Warm
82,11.2,0.1,small peak - error on δ15N will be higher,-11.4,18.7,NA,NA,NA,2024,Warm,4,Warm4,Both,1,Both1,G,7,S,2024_Warm04_Both01_G7_S,NA,Norm,Warm,Hyp,Warm
83,10.6,0.2,NA,-8.9,16.3,NA,NA,NA,2024,Warm,5,Warm5,Both,5,Both5,G,57,S,2024_Warm05_Both05_G57_S,2/5/25 SKM found to be a double during processing,Norm,Warm,Hyp,Warm
84,11.7,0.2,NA,-7.8,15.4,NA,NA,NA,2024,Warm,5,Warm5,Both,1,Both1,G,10,S,2024_Warm05_Both01_G10_S,NA,Norm,Warm,Hyp,Warm
85,12.5,0.3,NA,-9.3,16.3,NA,NA,NA,2024,Both,5,Both5,Both,5,Both5,O,57,S,2024_Both05_Both05_O57_S,NA,Hyp,Warm,Hyp,Warm
86,11,0.2,NA,-6.9,14.6,NA,NA,NA,2024,Cont,3,Cont3,Both,2,Both2,W,18,S,2024_Cont03_Both02_W18_S,NA,Norm,Ambient,Hyp,Warm
87,10.5,0.2,NA,-8.8,16.2,NA,NA,NA,2024,Warm,3,Warm3,Both,2,Both2,G,18,S,2024_Warm03_Both02_G18_S,NA,Norm,Warm,Hyp,Warm
88,11.9,0.2,NA,-9.5,16.7,NA,NA,NA,2024,Hyp,6,Hyp6,Both,2,Both2,B,24,S,2024_Hyp06_Both02_B24_S,NA,Hyp,Ambient,Hyp,Warm
89,12.1,8.2,NA,-24.4,44.6,NA,NA,NA,2024,Cont,3,Cont3,Both,2,Both2,W,18,T,2024_Cont03_Both02_W18_T,"2/14 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/19 SC rehomogenized and all set now.",Norm,Ambient,Hyp,Warm
90,12.3,7.2,NA,-24.5,47.3,NA,NA,NA,2024,Warm,3,Warm3,Both,2,Both2,G,18,T,2024_Warm03_Both02_G18_T,"2/14 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/19 SC rehomogenized and all set now.",Norm,Warm,Hyp,Warm
91,12.5,8.6,NA,-24.1,41.8,NA,NA,NA,2024,Hyp,6,Hyp6,Both,2,Both2,B,24,T,2024_Hyp06_Both02_B24_T,"2/14 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/19 SC rehomogenized and all set now.",Hyp,Ambient,Hyp,Warm
92,11.4,0.2,NA,-9.9,17,NA,NA,NA,2024,Both,5,Both5,Both,2,Both2,O,21,S,2024_Both05_Both02_O21_S,2/12 SC had a dead shell attached to the top. Was once a double but no tissue found when dissecting.,Hyp,Warm,Hyp,Warm
93,12.4,8.9,NA,-23.8,37.9,NA,NA,NA,2024,Warm,5,Warm5,Both,5,Both5,G,57,T,2024_Warm05_Both05_G57_T,"2/5/25 SKM found to be a double during processing. SC 2/19 When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/21 SC rehomogenized and all set now.",Norm,Warm,Hyp,Warm
94,11.4,5.6,small peak - error on δ15N will be higher,-24.3,40.7,NA,NA,NA,2024,Warm,5,Warm5,Both,1,Both1,G,10,T,2024_Warm05_Both01_G10_T,"2/19 SC When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/21 SC rehomogenized and all set now.",Norm,Warm,Hyp,Warm
95,12.7,8.8,NA,-23.3,38.1,NA,NA,NA,2024,Both,5,Both5,Both,2,Both2,O,21,T,2024_Both05_Both02_O21_T,2/12 SC had a dead shell attached to the top. Was once a double but no tissue found when dissecting.,Hyp,Warm,Hyp,Warm
96,12.8,0.2,NA,-6,14.1,NA,NA,NA,2024,Hyp,4,Hyp4,Both,2,Both2,B,20,S,2024_Hyp04_Both02_B20_S,NA,Hyp,Ambient,Hyp,Warm
97,3.3,0.4,NA,-9.2,16.9,NA,NA,NA,2024,Cont,1,Cont1,Both,2,Both2,W,14,S,2024_Cont01_Both02_W14_S,NA,Norm,Ambient,Hyp,Warm
98,11.7,0.2,NA,-9.1,16.2,NA,NA,NA,2024,Warm,6,Warm6,Both,2,Both2,G,23,S,2024_Warm06_Both02_G23_S,NA,Norm,Warm,Hyp,Warm
99,10.2,0.2,NA,-9.1,17.5,NA,NA,NA,2024,Hyp,6,Hyp6,Both,4,Both4,B,48,S,2024_Hyp06_Both04_B48_S,NA,Hyp,Ambient,Hyp,Warm
100,10,0.2,NA,-9.3,17.3,NA,Y,Y,2024,Both,6,Both6,Both,2,Both2,O,24,S,2024_Both06_Both02_O24_S,NA,Hyp,Warm,Hyp,Warm
101,12.4,9.5,NA,-24.5,44.9,NA,NA,NA,2024,Both,5,Both5,Both,5,Both5,O,57,T,2024_Both05_Both05_O57_T,NA,Hyp,Warm,Hyp,Warm
102,12.4,7.1,NA,-25.6,50.9,NA,NA,NA,2024,Hyp,6,Hyp6,Both,4,Both4,B,48,T,2024_Hyp06_Both04_B48_T,NA,Hyp,Ambient,Hyp,Warm
103,12.6,8.3,NA,-25.3,49.5,NA,NA,NA,2024,Warm,6,Warm6,Both,2,Both2,G,23,T,2024_Warm06_Both02_G23_T,NA,Norm,Warm,Hyp,Warm
104,11.8,7.2,NA,-23.8,38.2,NA,Y,Y,2024,Both,6,Both6,Both,2,Both2,O,24,T,2024_Both06_Both02_O24_T,NA,Hyp,Warm,Hyp,Warm
105,12.6,8,NA,-24.5,43.3,NA,NA,NA,2024,Hyp,4,Hyp4,Both,2,Both2,B,20,T,2024_Hyp04_Both02_B20_T,NA,Hyp,Ambient,Hyp,Warm
106,10.1,0.2,small peak - error on δ15N will be higher,-8,16.5,NA,NA,NA,2024,Both,4,Both4,Both,1,Both1,O,8,S,2024_Both04_Both01_O8_S,NA,Hyp,Warm,Hyp,Warm
107,9.5,0.1,small peak - error on δ15N will be higher,-9.5,17.6,NA,NA,NA,2024,Both,3,Both3,Both,1,Both1,O,5,S,2024_Both03_Both01_O5_S,NA,Hyp,Warm,Hyp,Warm
108,13.1,0.2,NA,-8.2,16.7,NA,NA,NA,2024,Hyp,2,Hyp2,Both,1,Both1,B,3,S,2024_Hyp02_Both01_B3_S,NA,Hyp,Ambient,Hyp,Warm
109,9.9,0.2,NA,-7,15.6,NA,NA,NA,2024,Hyp,3,Hyp3,Both,1,Both1,B,6,S,2024_Hyp03_Both01_B6_S,NA,Hyp,Ambient,Hyp,Warm
110,12.3,5.7,small peak - error on δ15N will be higher,-25.3,50.2,NA,NA,NA,2024,Both,3,Both3,Both,1,Both1,O,5,T,2024_Both03_Both01_O5_T,NA,Hyp,Warm,Hyp,Warm
111,11.7,6.5,NA,-25.1,48.5,NA,NA,NA,2024,Both,4,Both4,Both,1,Both1,O,8,T,2024_Both04_Both01_O8_T,NA,Hyp,Warm,Hyp,Warm
112,12.4,7.6,NA,-25.8,52,NA,NA,NA,2024,Hyp,3,Hyp3,Both,1,Both1,B,6,T,2024_Hyp03_Both01_B6_T,NA,Hyp,Ambient,Hyp,Warm
113,12.2,6.4,NA,-25.9,52.6,NA,NA,NA,2024,Hyp,2,Hyp2,Both,1,Both1,B,3,T,2024_Hyp02_Both01_B3_T,NA,Hyp,Ambient,Hyp,Warm
114,10.1,0.2,NA,-7.9,16.4,NA,NA,NA,2024,Both,1,Both1,Warm,1,Warm1,O,2,S,2024_Both01_Warm01_O2_S,NA,Hyp,Warm,Norm,Warm
115,10.8,0.2,NA,-7.9,16.3,NA,NA,NA,2024,Hyp,5,Hyp5,Warm,1,Warm1,B,10,S,2024_Hyp05_Warm01_B10_S,NA,Hyp,Ambient,Norm,Warm
116,11,0.2,NA,-9.2,17.4,NA,NA,NA,2024,Warm,4,Warm4,Warm,1,Warm1,G,7,S,2024_Warm04_Warm01_G7_S,NA,Norm,Warm,Norm,Warm
117,10.7,0.2,NA,-7.7,16.2,NA,NA,NA,2024,Both,4,Both4,Warm,1,Warm1,O,8,S,2024_Both04_Warm01_O8_S,NA,Hyp,Warm,Norm,Warm
118,10.9,0.2,small peak - error on δ15N will be higher,-9.6,17.5,NA,NA,NA,2024,Cont,1,Cont1,Warm,1,Warm1,W,1,S,2024_Cont01_Warm01_W1_S,NA,Norm,Ambient,Norm,Warm
119,10.9,0.2,NA,-9.7,17.7,NA,NA,NA,2024,Warm,5,Warm5,Warm,1,Warm1,G,9,S,2024_Warm05_Warm01_G9_S,2/28/25 SKM we changed the 119 label to this one from Warm4_Warm1_G7_T because of the contents of the vial looking like shell and the order of the weigh boats,Norm,Warm,Norm,Warm
123,12.3,9.3,NA,-24.8,46.8,NA,NA,NA,2024,Both,4,Both4,Warm,1,Warm1,O,8,T,2024_Both04_Warm01_O8_T,"2/28/25 SKM This is the correct vial number, but 120-122 should be four samples rather than three based on the weigh boats. Discounting those and not this one.",Hyp,Warm,Norm,Warm
124,11.8,7.7,NA,-25.6,51.9,NA,NA,NA,2024,Cont,1,Cont1,Warm,1,Warm1,W,1,T,2024_Cont01_Warm01_W1_T,3/5 SC Started with this one today.,Norm,Ambient,Norm,Warm
125,12.6,7,NA,-24.7,43.8,NA,NA,NA,2024,Cont,6,Cont6,Warm,4,Warm4,W,47,T,2024_Cont06_Warm04_W47_T,NA,Norm,Ambient,Norm,Warm
126,11.3,0.2,NA,-7,15.5,NA,NA,NA,2024,Cont,6,Cont6,Warm,4,Warm4,W,47,S,2024_Cont06_Warm04_W47_S,NA,Norm,Ambient,Norm,Warm
127,13.6,0.2,NA,-6.3,14.7,NA,NA,NA,2024,Hyp,4,Hyp4,Warm,4,Warm4,B,44,S,2024_Hyp04_Warm04_B44_S,NA,Hyp,Ambient,Norm,Warm
128,11.6,0.2,NA,-6.9,15,NA,NA,NA,2024,Warm,3,Warm3,Warm,4,Warm4,G,41,S,2024_Warm03_Warm04_G41_S,SC 3/5 Ended with this one today,Norm,Warm,Norm,Warm
129,12,0.2,NA,-7.4,15.3,NA,NA,NA,2024,Cont,5,Cont5,Warm,3,Warm3,W,33,S,2024_Cont05_Warm03_W33_S,SC 3/19 Started with this one today,Norm,Ambient,Norm,Warm
130,9.9,0.2,NA,-8.6,16.2,NA,NA,NA,2024,Cont,4,Cont4,Warm,3,Warm3,W,31,S,2024_Cont04_Warm03_W31_S,NA,Norm,Ambient,Norm,Warm
