Year,Phase_1_treat,Phase_1_treat_old,Phase_1_rep,Phase_2_treat,Phase_2_treat_old,Phase_2_rep,Tag_color,Tag_num,Tissue_type,Sample_Name_old,Sample_Name,Vial_num,Notes,og_order,filt_out
2024,Warm,Warm,6,Both,Both,2,G,23,S,Warm6_Both2_G23_S,2024_Warm06_Both02_G23_S,98,,79,
2024,Warm,Warm,6,Both,Both,2,G,23,T,Warm6_Both2_G23_T,2024_Warm06_Both02_G23_T,103,,80,
2024,Both,Both,4,Cont,Control,2,O,19,S,Both4_Control2_O19_S,2024_Both04_Cont02_O19_S,207,,81,
2024,Both,Both,4,Cont,Control,2,O,19,T,Both4_Control2_O19_T,2024_Both04_Cont02_O19_T,210,4/4 SC ended with this one today,82,
2024,Both,Both,5,Cont,Control,2,O,21,S,Both5_Control2_O21_S,2024_Both05_Cont02_O21_S,235,"5/9/25 SC dead oyster, had no tissue",83,
2024,Both,Both,5,Cont,Control,2,O,21,T,Both5_Control2_O21_T,2024_Both05_Cont02_O21_T,NA,"5/9/25 SC dead oyster, had no tissue",84,Y
2024,Cont,Control,1,Cont,Control,2,W,14,S,Control1_Control2_W14_S,2024_Cont01_Cont02_W14_S,233,5/12/2025 SC started with this one today,85,
2024,Cont,Control,1,Cont,Control,2,W,14,T,Control1_Control2_W14_T,2024_Cont01_Cont02_W14_T,236,,86,
2024,Cont,Control,2,Cont,Control,2,W,15,S,Control2_Control2_W15_S,2024_Cont02_Cont02_W15_S,206,,87,
2024,Cont,Control,2,Cont,Control,2,W,15,T,Control2_Control2_W15_T,2024_Cont02_Cont02_W15_T,209,,88,
2024,Hyp,Hypoxic,3,Cont,Control,2,B,18,S,Hypoxic3_Control2_B18_S,2024_Hyp03_Cont02_B18_S,215,,89,
2024,Hyp,Hypoxic,3,Cont,Control,2,B,18,T,Hypoxic3_Control2_B18_T,2024_Hyp03_Cont02_B18_T,212,,90,
2024,Hyp,Hypoxic,6,Cont,Control,2,B,23,S,Hypoxic6_Control2_B23_S,2024_Hyp06_Cont02_B23_S,214,,91,
2024,Hyp,Hypoxic,6,Cont,Control,2,B,23,T,Hypoxic6_Control2_B23_T,2024_Hyp06_Cont02_B23_T,211,4/9 SC started with this one today,92,
2024,Warm,Warm,3,Cont,Control,2,G,18,S,Warm3_Control2_G18_S,2024_Warm03_Cont02_G18_S,234,,93,
2024,Warm,Warm,3,Cont,Control,2,G,18,T,Warm3_Control2_G18_T,2024_Warm03_Cont02_G18_T,237,,94,
2024,Warm,Warm,4,Cont,Control,2,G,20,S,Warm4_Control2_G20_S,2024_Warm04_Cont02_G20_S,216,4/9 SC ended with this one today,95,
2024,Warm,Warm,4,Cont,Control,2,G,20,T,Warm4_Control2_G20_T,2024_Warm04_Cont02_G20_T,213,,96,
2024,Both,Both,3,Hyp,Hypoxic,2,O,18,S,Both3_Hypoxic2_O18_S,2024_Both03_Hyp02_O18_S,287,,97,
2024,Both,Both,3,Hyp,Hypoxic,2,O,18,T,Both3_Hypoxic2_O18_T,2024_Both03_Hyp02_O18_T,290,,98,
2024,Both,Both,6,Hyp,Hypoxic,2,O,24,S,Both6_Hypoxic2_O24_S,2024_Both06_Hyp02_O24_S,288,,99,
2024,Both,Both,6,Hyp,Hypoxic,2,O,24,T,Both6_Hypoxic2_O24_T,2024_Both06_Hyp02_O24_T,291,,100,
2024,Cont,Control,2,Hyp,Hypoxic,2,W,16,S,Control2_Hypoxic2_W16_S,2024_Cont02_Hyp02_W16_S,283,,101,
2024,Cont,Control,2,Hyp,Hypoxic,2,W,16,T,Control2_Hypoxic2_W16_T,2024_Cont02_Hyp02_W16_T,286,,102,
2024,Cont,Control,6,Hyp,Hypoxic,2,W,23,S,Control6_Hypoxic2_W23_S,2024_Cont06_Hyp02_W23_S,289,,103,
2024,Cont,Control,6,Hyp,Hypoxic,2,W,23,T,Control6_Hypoxic2_W23_T,2024_Cont06_Hyp02_W23_T,292,,104,
2024,Hyp,Hypoxic,1,Hyp,Hypoxic,2,B,13,S,Hypoxic1_Hypoxic2_B13_S,2024_Hyp01_Hyp02_B13_S,298,,105,
2024,Hyp,Hypoxic,1,Hyp,Hypoxic,2,B,13,T,Hypoxic1_Hypoxic2_B13_T,2024_Hyp01_Hyp02_B13_T,300,5/30/25 SC ended with this one today,106,
2024,Hyp,Hypoxic,5,Hyp,Hypoxic,2,B,22,S,Hypoxic5_Hypoxic2_B22_S,2024_Hyp05_Hyp02_B22_S,281,,107,
2024,Hyp,Hypoxic,5,Hyp,Hypoxic,2,B,22,T,Hypoxic5_Hypoxic2_B22_T,2024_Hyp05_Hyp02_B22_T,284,,108,
2024,Warm,Warm,1,Hyp,Hypoxic,2,G,14,S,Warm1_Hypoxic2_G14_S,2024_Warm01_Hyp02_G14_S,297,,109,
2024,Warm,Warm,1,Hyp,Hypoxic,2,G,14,T,Warm1_Hypoxic2_G14_T,2024_Warm01_Hyp02_G14_T,299,,110,
2024,Warm,Warm,5,Hyp,Hypoxic,2,G,22,S,Warm5_Hypoxic2_G22_S,2024_Warm05_Hyp02_G22_S,282,,111,
2024,Warm,Warm,5,Hyp,Hypoxic,2,G,22,T,Warm5_Hypoxic2_G22_T,2024_Warm05_Hyp02_G22_T,285,,112,
2024,Both,Both,5,Warm,Warm,2,O,22,S,Both5_Warm2_O22_S,2024_Both05_Warm02_O22_S,189,,113,
2024,Both,Both,5,Warm,Warm,2,O,22,T,Both5_Warm2_O22_T,2024_Both05_Warm02_O22_T,192,SC 4/2 started with this one today,114,
2024,Both,Both,6,Warm,Warm,2,O,24,S,Both6_Warm2_O24_S,2024_Both06_Warm02_O24_S,196,,115,
2024,Both,Both,6,Warm,Warm,2,O,24,T,Both6_Warm2_O24_T,2024_Both06_Warm02_O24_T,198,,116,
2024,Cont,Control,3,Warm,Warm,2,W,17,S,Control3_Warm2_W17_S,2024_Cont03_Warm02_W17_S,200,,117,
2024,Cont,Control,3,Warm,Warm,2,W,17,T,Control3_Warm2_W17_T,2024_Cont03_Warm02_W17_T,203,,118,
2024,Cont,Control,6,Warm,Warm,2,W,24,S,Control6_Warm2_W24_S,2024_Cont06_Warm02_W24_S,199,,119,
2024,Cont,Control,6,Warm,Warm,2,W,24,T,Control6_Warm2_W24_T,2024_Cont06_Warm02_W24_T,202,SC 4/4 started with this one today,120,
2024,Hyp,Hypoxic,1,Warm,Warm,2,B,13,S,Hypoxic1_Warm2_B13_S,2024_Hyp01_Warm02_B13_S,201,SC 4/2 Ended with this one today,121,
2024,Hyp,Hypoxic,1,Warm,Warm,2,B,13,T,Hypoxic1_Warm2_B13_T,2024_Hyp01_Warm02_B13_T,204,,122,
2024,Hyp,Hypoxic,4,Warm,Warm,2,B,19,S,Hypoxic4_Warm2_B19_S,2024_Hyp04_Warm02_B19_S,205,,123,
2024,Hyp,Hypoxic,4,Warm,Warm,2,B,19,T,Hypoxic4_Warm2_B19_T,2024_Hyp04_Warm02_B19_T,208,,124,
2024,Warm,Warm,2,Warm,Warm,2,G,15,S,Warm2_Warm2_G15_S,2024_Warm02_Warm02_G15_S,191,3/31 SKM ended with this one today,125,
2024,Warm,Warm,2,Warm,Warm,2,G,15,T,Warm2_Warm2_G15_T,2024_Warm02_Warm02_G15_T,194,,126,
2024,Warm,Warm,6,Warm,Warm,2,G,24,S,Warm6_Warm2_G24_S,2024_Warm06_Warm02_G24_S,190,,127,
2024,Warm,Warm,6,Warm,Warm,2,G,24,T,Warm6_Warm2_G24_T,2024_Warm06_Warm02_G24_T,193,,128,
2024,Both,Both,1,Both,Both,3,O,25,S,Both1_Both3_O25_S,2024_Both01_Both03_O25_S,38,,129,
2024,Both,Both,1,Both,Both,3,O,25,T,Both1_Both3_O25_T,2024_Both01_Both03_O25_T,37,,130,
2024,Both,Both,2,Both,Both,3,O,27,S,Both2_Both3_O27_S,2024_Both02_Both03_O27_S,39,,131,
2024,Both,Both,2,Both,Both,3,O,27,T,Both2_Both3_O27_T,2024_Both02_Both03_O27_T,32,,132,
2024,Cont,Control,4,Both,Both,3,W,31,S,Control4_Both3_W31_S,2024_Cont04_Both03_W31_S,41,,133,
2024,Cont,Control,4,Both,Both,3,W,31,T,Control4_Both3_W31_T,2024_Cont04_Both03_W31_T,34,,134,
2024,Cont,Control,5,Both,Both,3,W,34,S,Control5_Both3_W34_S,2024_Cont05_Both03_W34_S,44,,135,
2024,Cont,Control,5,Both,Both,3,W,34,T,Control5_Both3_W34_T,2024_Cont05_Both03_W34_T,29,,136,
2024,Hyp,Hypoxic,1,Both,Both,3,B,25,S,Hypoxic1_Both3_B25_S,2024_Hyp01_Both03_B25_S,45,,137,
2024,Hyp,Hypoxic,1,Both,Both,3,B,25,T,Hypoxic1_Both3_B25_T,2024_Hyp01_Both03_B25_T,30,,138,
2024,Hyp,Hypoxic,3,Both,Both,3,B,30,S,Hypoxic3_Both3_B30_S,2024_Hyp03_Both03_B30_S,43,,139,
2024,Hyp,Hypoxic,3,Both,Both,3,B,30,T,Hypoxic3_Both3_B30_T,2024_Hyp03_Both03_B30_T,35,,140,
2024,Warm,Warm,1,Both,Both,3,G,26,S,Warm1_Both3_G26_S,2024_Warm01_Both03_G26_S,42,,141,
2024,Warm,Warm,1,Both,Both,3,G,26,T,Warm1_Both3_G26_T,2024_Warm01_Both03_G26_T,36,,142,
2024,Warm,Warm,2,Both,Both,3,G,28,S,Warm2_Both3_G28_S,2024_Warm02_Both03_G28_S,40,,143,
2024,Warm,Warm,2,Both,Both,3,G,28,T,Warm2_Both3_G28_T,2024_Warm02_Both03_G28_T,33,,144,
2024,Both,Both,2,Cont,Control,3,O,27,S,Both2_Control3_O27_S,2024_Both02_Cont03_O27_S,252,,145,
2024,Both,Both,2,Cont,Control,3,O,27,T,Both2_Control3_O27_T,2024_Both02_Cont03_O27_T,253,"5/19 AM ended with this one today; clumped, put back into drying oven",146,
2024,Both,Both,6,Cont,Control,3,O,35,S,Both6_Control3_O35_S,2024_Both06_Cont03_O35_S,248,,147,
2024,Both,Both,6,Cont,Control,3,O,35,T,Both6_Control3_O35_T,2024_Both06_Cont03_O35_T,251,,148,
2024,Cont,Control,1,Cont,Control,3,W,26,S,Control1_Control3_W26_S,2024_Cont01_Cont03_W26_S,246,5/19 SKM started with this one today,149,
2024,Cont,Control,1,Cont,Control,3,W,26,T,Control1_Control3_W26_T,2024_Cont01_Cont03_W26_T,249,"clumped, put back in drying oven",150,
2024,Cont,Control,3,Cont,Control,3,W,30,S,Control3_Control3_W30_S,2024_Cont03_Cont03_W30_S,244,,151,
2024,Cont,Control,3,Cont,Control,3,W,30,T,Control3_Control3_W30_T,2024_Cont03_Cont03_W30_T,245,5/12/2025 SC ended with this one today,152,
2024,Hyp,Hypoxic,2,Cont,Control,3,B,27,S,Hypoxic2_Control3_B27_S,2024_Hyp02_Cont03_B27_S,238,,153,
2024,Hyp,Hypoxic,2,Cont,Control,3,B,27,T,Hypoxic2_Control3_B27_T,2024_Hyp02_Cont03_B27_T,241,,154,
2024,Hyp,Hypoxic,5,Cont,Control,3,B,33,S,Hypoxic5_Control3_B33_S,2024_Hyp05_Cont03_B33_S,247,,155,
2024,Hyp,Hypoxic,5,Cont,Control,3,B,33,T,Hypoxic5_Control3_B33_T,2024_Hyp05_Cont03_B33_T,250,,156,
2024,Warm,Warm,2,Cont,Control,3,G,28,S,Warm2_Control3_G28_S,2024_Warm02_Cont03_G28_S,240,,157,
2024,Warm,Warm,2,Cont,Control,3,G,28,T,Warm2_Control3_G28_T,2024_Warm02_Cont03_G28_T,243,,158,
2024,Warm,Warm,5,Cont,Control,3,G,33,S,Warm5_Control3_G33_S,2024_Warm05_Cont03_G33_S,239,,159,
2024,Warm,Warm,5,Cont,Control,3,G,33,T,Warm5_Control3_G33_T,2024_Warm05_Cont03_G33_T,242,,160,
2024,Both,Both,5,Hyp,Hypoxic,3,O,32,S,Both5_Hypoxic3_O32_S,2024_Both05_Hyp03_O32_S,319,,161,
2024,Both,Both,5,Hyp,Hypoxic,3,O,32,T,Both5_Hypoxic3_O32_T,2024_Both05_Hyp03_O32_T,322,,162,
2024,Both,Both,6,Hyp,Hypoxic,3,O,34,S,Both6_Hypoxic3_O34_S,2024_Both06_Hyp03_O34_S,345,,163,
2024,Both,Both,6,Hyp,Hypoxic,3,O,34,T,Both6_Hypoxic3_O34_T,2024_Both06_Hyp03_O34_T,347,,164,
2024,Cont,Control,3,Hyp,Hypoxic,3,W,30,S,Control3_Hypoxic3_W30_S,2024_Cont03_Hyp03_W30_S,317,,165,
2024,Cont,Control,3,Hyp,Hypoxic,3,W,30,T,Control3_Hypoxic3_W30_T,2024_Cont03_Hyp03_W30_T,320,,166,
2024,Cont,Control,5,Hyp,Hypoxic,3,W,34,S,Control5_Hypoxic3_W34_S,2024_Cont05_Hyp03_W34_S,318,,167,
2024,Cont,Control,5,Hyp,Hypoxic,3,W,34,T,Control5_Hypoxic3_W34_T,2024_Cont05_Hyp03_W34_T,321,,168,
2024,Hyp,Hypoxic,2,Hyp,Hypoxic,3,B,28,S,Hypoxic2_Hypoxic3_B28_S,2024_Hyp02_Hyp03_B28_S,333,6/13/2025 SC started with this one today,169,
2024,Hyp,Hypoxic,2,Hyp,Hypoxic,3,B,28,T,Hypoxic2_Hypoxic3_B28_T,2024_Hyp02_Hyp03_B28_T,336,,170,
2024,Hyp,Hypoxic,4,Hyp,Hypoxic,3,B,32,S,Hypoxic4_Hypoxic3_B32_S,2024_Hyp04_Hyp03_B32_S,334,,171,
2024,Hyp,Hypoxic,4,Hyp,Hypoxic,3,B,32,T,Hypoxic4_Hypoxic3_B32_T,2024_Hyp04_Hyp03_B32_T,337,,172,
2024,Warm,Warm,4,Hyp,Hypoxic,3,G,32,S,Warm4_Hypoxic3_G32_S,2024_Warm04_Hyp03_G32_S,323,,173,
2024,Warm,Warm,4,Hyp,Hypoxic,3,G,32,T,Warm4_Hypoxic3_G32_T,2024_Warm04_Hyp03_G32_T,324,,174,
2024,Warm,Warm,6,Hyp,Hypoxic,3,G,36,S,Warm6_Hypoxic3_G36_S,2024_Warm06_Hyp03_G36_S,335,,175,
2024,Warm,Warm,6,Hyp,Hypoxic,3,G,36,T,Warm6_Hypoxic3_G36_T,2024_Warm06_Hyp03_G36_T,338,,176,
2024,Both,Both,2,Warm,Warm,3,O,27,S,Both2_Warm3_O27_S,2024_Both02_Warm03_O27_S,135,,177,
2024,Both,Both,2,Warm,Warm,3,O,27,T,Both2_Warm3_O27_T,2024_Both02_Warm03_O27_T,141,,178,
