Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_post,Dry_weight_post,double_single_dead,notes
1012,8122024,2024,Warm,01,Warm,06,G,62,2024_Warm01_Warm06_G62,493.6,1292.3,,
1018,8122024,2024,Cont,01,Warm,06,W,62,2024_Cont01_Warm06_W62,654.6,1653.7,,
1037,8122024,2024,Hyp,01,Warm,06,B,62,2024_Hyp01_Warm06_B62,1044.5,2712.4,,
1040,8122024,2024,Both,01,Warm,06,O,62,2024_Both01_Warm06_O62,480.6,1178.3,,
1061,8122024,2024,Cont,01,Hyp,06,W,62,2024_Cont01_Hyp06_W62,193.3,471.1,,
1066,8122024,2024,Warm,01,Hyp,06,G,62,2024_Warm01_Hyp06_G62,503.2,1286.1,,
1080,8122024,2024,Both,01,Hyp,06,O,62,2024_Both01_Hyp06_O62,322,783.1,,
1083,8122024,2024,Hyp,01,Hyp,06,B,62,2024_Hyp01_Hyp06_B62,447.8,1033.7,,
1106,8122024,2024,Warm,01,Both,06,G,62,2024_Warm01_Both06_G62,319.5,899.8,,
1114,8122024,2024,Hyp,01,Both,06,B,62,2024_Hyp01_Both06_B62,383.1,1030.1,,
1116,8122024,2024,Cont,01,Both,06,W,62,2024_Cont01_Both06_W62,646.4,1319.7,,
1119,8122024,2024,Both,01,Both,06,O,62,2024_Both01_Both06_O62,638.5,1348.2,,
965,8122024,2024,Warm,01,Cont,06,G,61,2024_Warm01_Cont06_G61,351.5,823.1,,
972,8122024,2024,Hyp,01,Cont,06,B,61,2024_Hyp01_Cont06_B61,194.9,508,,
998,8122024,2024,Both,01,Cont,06,O,61,2024_Both01_Cont06_O61,292.9,715.1,,
1006,8122024,2024,Cont,01,Cont,06,W,61,2024_Cont01_Cont06_W61,210.2,519.8,,
1016,8122024,2024,Cont,01,Warm,06,W,61,2024_Cont01_Warm06_W61,832.5,2494.6,,
1020,8122024,2024,Warm,01,Warm,06,G,61,2024_Warm01_Warm06_G61,325,918.7,,
1030,8122024,2024,Hyp,01,Warm,06,B,61,2024_Hyp01_Warm06_B61,214.2,496.2,,
1033,8122024,2024,Both,01,Warm,06,O,61,2024_Both01_Warm06_O61,646.6,1476,,
1062,8122024,2024,Both,01,Hyp,06,O,61,2024_Both01_Hyp06_O61,356.7,781.5,,
1068,8122024,2024,Cont,01,Hyp,06,W,61,2024_Cont01_Hyp06_W61,426.9,984.5,,
1086,8122024,2024,Cont,06,Hyp,06,W,71,2024_Cont06_Hyp06_W71,613.8,1592.2,,"09.23.24 SKM changed data point in working post phase 2.1 from W61 to W71, was written down wrong on the data sheet but verified that this is actually W71 from the photos. Also changed Phase 1 info and 'Sample_Name"""
1095,8122024,2024,Warm,01,Hyp,06,G,61,2024_Warm01_Hyp06_G61,375.5,802,,
1097,8122024,2024,Hyp,01,Hyp,06,B,61,2024_Hyp01_Hyp06_B61,217.2,550.7,,
1111,8122024,2024,Hyp,01,Both,06,B,61,2024_Hyp01_Both06_B61,103.6,261.7,,
1125,8122024,2024,Warm,01,Both,06,G,61,2024_Warm01_Both06_G61,776.5,1551.2,,
1145,8122024,2024,Cont,01,Both,06,W,61,2024_Cont01_Both06_W61,320.9,731.7,,
1148,8122024,2024,Both,01,Both,06,O,61,2024_Both01_Both06_O61,185.4,487.5,,
777,8122024,2024,Cont,06,Cont,05,W,60,2024_Cont06_Cont05_W60,328.7,873.9,,
779,8122024,2024,Hyp,06,Cont,05,B,60,2024_Hyp06_Cont05_B60,272.3,718.9,,
804,8122024,2024,Both,06,Cont,05,O,60,2024_Both06_Cont05_O60,151.6,337.8,,
813,8122024,2024,Warm,06,Cont,05,G,60,2024_Warm06_Cont05_G60,301.9,694.9,,
832,8122024,2024,Both,06,Warm,05,O,60,2024_Both06_Warm05_O60,154,366.9,,
856,8122024,2024,Hyp,06,Warm,05,B,60,2024_Hyp06_Warm05_B60,194.4,480.4,,
859,8122024,2024,Warm,06,Warm,05,G,60,2024_Warm06_Warm05_G60,521.3,1289.7,,
862,8122024,2024,Cont,06,Warm,05,W,60,2024_Cont06_Warm05_W60,702.7,1702.9,,
873,8122024,2024,Cont,06,Hyp,05,W,60,2024_Cont06_Hyp05_W60,460.2,1014.1,,
879,8122024,2024,Hyp,06,Hyp,05,B,60,2024_Hyp06_Hyp05_B60,287.1,661.1,,
882,8122024,2024,Both,06,Hyp,05,O,60,2024_Both06_Hyp05_O60,274.3,700.2,,
896,8122024,2024,Warm,06,Hyp,05,G,60,2024_Warm06_Hyp05_G60,601.2,1373.2,,
932,8122024,2024,Both,06,Both,05,O,60,2024_Both06_Both05_O60,292.8,782.8,,
933,8122024,2024,Warm,06,Both,05,G,60,2024_Warm06_Both05_G60,318,834.4,,
947,8122024,2024,Cont,06,Both,05,W,60,2024_Cont06_Both05_W60,621.9,1801.7,,
951,8122024,2024,Hyp,06,Both,05,B,60,2024_Hyp06_Both05_B60,198.3,500.3,,
775,8122024,2024,Cont,06,Cont,05,W,59,2024_Cont06_Cont05_W59,441.9,945.8,,
795,8122024,2024,Both,06,Cont,05,O,59,2024_Both06_Cont05_O59,275,661.5,,
800,8122024,2024,Warm,06,Cont,05,G,59,2024_Warm06_Cont05_G59,368.7,851.6,,
816,8122024,2024,Hyp,06,Cont,05,B,59,2024_Hyp06_Cont05_B59,275.2,673.1,,
820,8122024,2024,Both,06,Warm,05,O,59,2024_Both06_Warm05_O59,457,1121.6,,
828,8122024,2024,Hyp,06,Warm,05,B,59,2024_Hyp06_Warm05_B59,595.9,1476.3,,
846,8122024,2024,Cont,06,Warm,05,W,59,2024_Cont06_Warm05_W59,544.6,1417.9,,
851,8122024,2024,Warm,06,Warm,05,G,59,2024_Warm06_Warm05_G59,608,1383,,
865,8122024,2024,Hyp,06,Hyp,05,B,59,2024_Hyp06_Hyp05_B59,157.7,344.4,,
897,8122024,2024,Both,06,Hyp,05,O,59,2024_Both06_Hyp05_O59,226.5,551.1,,
908,8122024,2024,Warm,06,Hyp,05,G,59,2024_Warm06_Hyp05_G59,343.9,897.8,,
910,8122024,2024,Cont,06,Hyp,05,W,59,2024_Cont06_Hyp05_W59,384.9,920.9,,
916,8122024,2024,Both,06,Both,05,O,59,2024_Both06_Both05_O59,473.1,1178.3,,
946,8122024,2024,Warm,06,Both,05,G,59,2024_Warm06_Both05_G59,265.6,628.4,,
953,8122024,2024,Hyp,06,Both,05,B,59,2024_Hyp06_Both05_B59,294.9,650,,
956,8122024,2024,Cont,06,Both,05,W,59,2024_Cont06_Both05_W59,137,314.1,,
784,8122024,2024,Hyp,05,Cont,05,B,58,2024_Hyp05_Cont05_B58,312,698.6,,
787,8122024,2024,Warm,05,Cont,05,G,58,2024_Warm05_Cont05_G58,300.5,774.7,,
798,8122024,2024,Both,05,Cont,05,O,58,2024_Both05_Cont05_O58,410.5,937.1,,
805,8122024,2024,Cont,05,Cont,05,W,58,2024_Cont05_Cont05_W58,301.6,688.2,,
850,8122024,2024,Cont,05,Warm,05,W,58,2024_Cont05_Warm05_W58,574.8,1392.6,,
853,8122024,2024,Hyp,05,Warm,05,B,58,2024_Hyp05_Warm05_B58,180,418.3,,
855,8122024,2024,Warm,05,Warm,05,G,58,2024_Warm05_Warm05_G58,156.9,449.8,,
858,8122024,2024,Both,05,Warm,05,O,58,2024_Both05_Warm05_O58,237.2,528,,
892,8122024,2024,Warm,05,Hyp,05,G,58,2024_Warm05_Hyp05_G58,309.1,758.7,,
893,8122024,2024,Both,05,Hyp,05,O,58,2024_Both05_Hyp05_O58,432.8,1046.7,,
899,8122024,2024,Cont,05,Hyp,05,W,58,2024_Cont05_Hyp05_W58,380.1,1022,,
911,8122024,2024,Hyp,05,Hyp,05,B,58,2024_Hyp05_Hyp05_B58,186.2,416,,
927,8122024,2024,Hyp,05,Both,05,B,58,2024_Hyp05_Both05_B58,324.3,839.8,,
940,8122024,2024,Both,05,Both,05,O,58,2024_Both05_Both05_O58,350.7,826,,
949,8122024,2024,Warm,05,Both,05,G,58,2024_Warm05_Both05_G58,307.1,765.9,,
950,8122024,2024,Cont,05,Both,05,W,58,2024_Cont05_Both05_W58,822,1786.5,,
790,8122024,2024,Both,05,Cont,05,O,57,2024_Both05_Cont05_O57,539.2,1345.6,,
802,8122024,2024,Cont,05,Cont,05,W,57,2024_Cont05_Cont05_W57,458.5,1109.7,,
809,8122024,2024,Warm,05,Cont,05,G,57,2024_Warm05_Cont05_G57,200.9,448.2,,
810,8122024,2024,Hyp,05,Cont,05,B,57,2024_Hyp05_Cont05_B57,267.7,743.7,,
827,8122024,2024,Cont,05,Warm,05,W,57,2024_Cont05_Warm05_W57,672.8,1742.6,,
841,8122024,2024,Hyp,05,Warm,05,B,57,2024_Hyp05_Warm05_B57,585.2,1451.1,,
848,8122024,2024,Warm,05,Warm,05,G,57,2024_Warm05_Warm05_G57,361.1,867.8,,
857,8122024,2024,Both,05,Warm,05,O,57,2024_Both05_Warm05_O57,601,1536.6,,
883,8122024,2024,Warm,05,Hyp,05,G,57,2024_Warm05_Hyp05_G57,181.7,473.4,,
888,8122024,2024,Cont,05,Hyp,05,W,57,2024_Cont05_Hyp05_W57,296.7,669.6,,
902,8122024,2024,Both,05,Hyp,05,O,57,2024_Both05_Hyp05_O57,220.9,629.4,,
909,8122024,2024,Hyp,05,Hyp,05,B,57,2024_Hyp05_Hyp05_B57,691.1,1495.1,,
928,8122024,2024,Warm,05,Both,05,G,57,2024_Warm05_Both05_G57,731.1,1754,,
