Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_post,Dry_weight_post,double_single_dead,notes
100,6262024,2024,Hyp,01,Null,NA,B,4,2024_Hyp01_Null_B4,181.8,504.5,double,
101,6262024,2024,Hyp,01,Null,NA,B,5,2024_Hyp01_Null_B5,86.7,231.1,double,
102,6262024,2024,Hyp,01,Null,NA,B,6,2024_Hyp01_Null_B6,23.3,62.9,single,
103,6262024,2024,Hyp,01,Null,NA,B,7,2024_Hyp01_Null_B7,141.2,424,double,
104,6262024,2024,Hyp,01,Null,NA,B,8,2024_Hyp01_Null_B8,63.2,169.9,single,
105,6262024,2024,Hyp,02,Null,NA,B,9,2024_Hyp02_Null_B9,310.1,915.5,triple,
106,6262024,2024,Hyp,02,Null,NA,B,10,2024_Hyp02_Null_B10,121.7,329.4,double,
107,6262024,2024,Hyp,02,Null,NA,B,11,2024_Hyp02_Null_B11,86.7,228.7,double,
108,6262024,2024,Hyp,02,Null,NA,B,12,2024_Hyp02_Null_B12,178.7,624.5,triple,
109,6262024,2024,Hyp,02,Null,NA,B,13,2024_Hyp02_Null_B13,74.1,192.7,single,
110,6262024,2024,Hyp,02,Null,NA,B,14,2024_Hyp02_Null_B14,145,433.9,single,dropped
111,6262024,2024,Hyp,02,Null,NA,B,15,2024_Hyp02_Null_B15,119.5,381.2,double,
112,6262024,2024,Hyp,02,Null,NA,B,16,2024_Hyp02_Null_B16,151.2,440.3,double,
113,6262024,2024,Hyp,03,Null,NA,B,17,2024_Hyp03_Null_B17,285.5,769.6,double,
114,6262024,2024,Hyp,03,Null,NA,B,18,2024_Hyp03_Null_B18,121.7,318.7,single,
115,6262024,2024,Hyp,03,Null,NA,B,19,2024_Hyp03_Null_B19,185.4,567.1,double,
116,6262024,2024,Hyp,03,Null,NA,B,20,2024_Hyp03_Null_B20,85.2,260.2,double,
117,6262024,2024,Hyp,03,Null,NA,B,21,2024_Hyp03_Null_B21,47.9,131.3,double,
118,6262024,2024,Hyp,03,Null,NA,B,22,2024_Hyp03_Null_B22,192.8,574.7,double,
119,6262024,2024,Hyp,03,Null,NA,B,23,2024_Hyp03_Null_B23,118.5,297.3,double,
120,6262024,2024,Hyp,03,Null,NA,B,24,2024_Hyp03_Null_B24,136,339.8,triple,
121,6262024,2024,Hyp,04,Null,NA,B,25,2024_Hyp04_Null_B25,202.6,561,double,
122,6262024,2024,Hyp,04,Null,NA,B,26,2024_Hyp04_Null_B26,214.7,637,double,
123,6262024,2024,Hyp,04,Null,NA,B,27,2024_Hyp04_Null_B27,177.1,516.7,triple,
124,6262024,2024,Hyp,04,Null,NA,B,28,2024_Hyp04_Null_B28,75.8,213.7,single,
125,6262024,2024,Hyp,04,Null,NA,B,29,2024_Hyp04_Null_B29,117.2,302.5,single,
126,6262024,2024,Hyp,04,Null,NA,B,30,2024_Hyp04_Null_B30,61.5,182.4,double,
127,6262024,2024,Hyp,04,Null,NA,B,31,2024_Hyp04_Null_B31,42,109.4,single,
128,6262024,2024,Hyp,04,Null,NA,B,32,2024_Hyp04_Null_B32,7,23.2,single/dead?,
129,6262024,2024,Hyp,05,Null,NA,B,33,2024_Hyp05_Null_B33,303,743,triple,
130,6262024,2024,Hyp,05,Null,NA,B,34,2024_Hyp05_Null_B34,181.6,564.3,double,
131,6262024,2024,Hyp,05,Null,NA,B,35,2024_Hyp05_Null_B35,68.6,198.9,double,
132,6262024,2024,Hyp,05,Null,NA,B,36,2024_Hyp05_Null_B36,78,223.3,double,
133,6262024,2024,Hyp,05,Null,NA,B,37,2024_Hyp05_Null_B37,146.6,405.5,double,
134,6262024,2024,Hyp,05,Null,NA,B,38,2024_Hyp05_Null_B38,74.2,207.7,double,
135,6262024,2024,Hyp,05,Null,NA,B,39,2024_Hyp05_Null_B39,157.3,457.3,double,
136,6262024,2024,Hyp,05,Null,NA,B,40,2024_Hyp05_Null_B40,127,351.7,double,
137,6262024,2024,Hyp,06,Null,NA,B,41,2024_Hyp06_Null_B41,280.8,785.7,double,
138,6262024,2024,Hyp,06,Null,NA,B,42,2024_Hyp06_Null_B42,59,145.7,single,
139,6262024,2024,Hyp,06,Null,NA,B,43,2024_Hyp06_Null_B43,116.7,344.2,double,
140,6262024,2024,Hyp,06,Null,NA,B,44,2024_Hyp06_Null_B44,92.3,283.8,double,
141,6262024,2024,Hyp,06,Null,NA,B,45,2024_Hyp06_Null_B45,90.7,230.3,single,
142,6262024,2024,Hyp,06,Null,NA,B,46,2024_Hyp06_Null_B46,219.8,574.8,double,
143,6262024,2024,Hyp,06,Null,NA,B,47,2024_Hyp06_Null_B47,167.4,467.8,double,
144,6262024,2024,Hyp,06,Null,NA,B,48,2024_Hyp06_Null_B48,14.7,27.8,dead,
145,6262024,2024,Warm,01,Null,NA,G,1,2024_Warm01_Null_G1,90.4,201.6,single,
146,6262024,2024,Warm,01,Null,NA,G,2,2024_Warm01_Null_G2,65,178.2,single,
147,6262024,2024,Warm,01,Null,NA,G,3,2024_Warm01_Null_G3,106.4,267.7,double,
148,6262024,2024,Warm,01,Null,NA,G,4,2024_Warm01_Null_G4,170.1,457.4,double,
149,6262024,2024,Warm,01,Null,NA,G,5,2024_Warm01_Null_G5,120.7,336.3,double,
150,6262024,2024,Warm,01,Null,NA,G,6,2024_Warm01_Null_G6,168.9,437.3,double,
