Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_pre,Dry_weight_pre,Notes,
328,7/25/24,2024,Cont,04,Warm,05,W,56,2024_Cont04_Warm05_W56,174,384.6,,
696,7/25/24,2024,Hyp,04,Warm,05,B,56,2024_Hyp04_Warm05_B56,196.1,495.1,,
709,7/25/24,2024,Both,04,Cont,05,O,56,2024_Both04_Cont05_O56,156.5,382.8,,
710,7/25/24,2024,Warm,04,Cont,05,G,56,2024_Warm04_Cont05_G56,147.2,420,,
711,7/25/24,2024,Hyp,04,Cont,05,B,56,2024_Hyp04_Cont05_B56,242.8,669.7,,
712,7/25/24,2024,Cont,04,Cont,05,W,56,2024_Cont04_Cont05_W56,295.8,715.8,,
1054,7/25/24,2024,Hyp,04,Hyp,05,B,56,2024_Hyp04_Hyp05_B56,93.4,254.2,,
1055,7/25/24,2024,Warm,04,Hyp,05,G,56,2024_Warm04_Hyp05_G56,116.5,342.5,,
1056,7/25/24,2024,Both,04,Hyp,05,O,56,2024_Both04_Hyp05_O56,172.5,415.1,,
1057,7/25/24,2024,Cont,04,Hyp,05,W,56,2024_Cont04_Hyp05_W56,399.6,969.8,,
1134,7/25/24,2024,Hyp,04,Both,05,B,56,2024_Hyp04_Both05_B56,301.6,648.5,,
1364,7/25/24,2024,Cont,04,Warm,05,W,56,2024_Cont04_Warm05_W56,174,384.6,,
1365,7/25/24,2024,Hyp,04,Warm,05,B,56,2024_Hyp04_Warm05_B56,196.1,495.1,,
1366,7/25/24,2024,Warm,04,Warm,05,G,56,2024_Warm04_Warm05_G56,344.7,819.3,,
107,7/25/24,2024,Hyp,04,Cont,05,B,55,2024_Hyp04_Cont05_B55,91.9,240.5,,
283,7/25/24,2024,Hyp,04,Both,05,B,55,2024_Hyp04_Both05_B55,144.4,363.1,,
284,7/25/24,2024,Both,04,Both,05,O,55,2024_Both04_Both05_O55,150.8,436.4,,
285,7/25/24,2024,Cont,04,Both,05,W,55,2024_Cont04_Both05_W55,190.6,447.5,,
286,7/25/24,2024,Warm,04,Both,05,G,55,2024_Warm04_Both05_G55,249,646.1,,
370,7/25/24,2024,Both,04,Cont,05,O,55,2024_Both04_Cont05_O55,158.3,406.7,,
567,7/25/24,2024,Cont,04,Both,05,W,55,2024_Cont04_Both05_W55,190.6,447.5,,
694,7/25/24,2024,Warm,04,Cont,05,G,55,2024_Warm04_Cont05_G55,165.9,492.8,,
705,7/25/24,2024,Hyp,04,Cont,05,B,55,2024_Hyp04_Cont05_B55,91.9,240.5,,
706,7/25/24,2024,Both,04,Cont,05,O,55,2024_Both04_Cont05_O55,158.3,406.7,,
707,7/25/24,2024,Warm,04,Cont,05,G,55,2024_Warm04_Cont05_G55,165.9,492.8,,
708,7/25/24,2024,Cont,04,Cont,05,W,55,2024_Cont04_Cont05_W55,190,528.6,,
899,7/25/24,2024,Cont,04,Cont,05,W,55,2024_Cont04_Cont05_W55,190,528.6,,
1050,7/25/24,2024,Warm,04,Hyp,05,G,55,2024_Warm04_Hyp05_G55,168.1,407.7,,
1051,7/25/24,2024,Cont,04,Hyp,05,W,55,2024_Cont04_Hyp05_W55,158.4,428.6,,
1052,7/25/24,2024,Both,04,Hyp,05,O,55,2024_Both04_Hyp05_O55,289.2,902.3,,
1053,7/25/24,2024,Hyp,04,Hyp,05,B,55,2024_Hyp04_Hyp05_B55,613.3,1428.5,wet,
1129,7/25/24,2024,Warm,04,Both,05,G,55,2024_Warm04_Both05_G55,249,646.1,,
1360,7/25/24,2024,Both,04,Warm,05,O,55,2024_Both04_Warm05_O55,129.6,296.9,,
1361,7/25/24,2024,Hyp,04,Warm,05,B,55,2024_Hyp04_Warm05_B55,130.7,333.7,,
1362,7/25/24,2024,Cont,04,Warm,05,W,55,2024_Cont04_Warm05_W55,162.3,435.3,,
1363,7/25/24,2024,Warm,04,Warm,05,G,55,2024_Warm04_Warm05_G55,326.9,842.3,,
135,7/25/24,2024,Hyp,03,Both,05,B,54,2024_Hyp03_Both05_B54,97.7,260.8,,
279,7/25/24,2024,Hyp,03,Both,05,B,54,2024_Hyp03_Both05_B54,97.7,260.8,,
280,7/25/24,2024,Both,03,Both,05,O,54,2024_Both03_Both05_O54,110.4,267.2,,
281,7/25/24,2024,Warm,03,Both,05,G,54,2024_Warm03_Both05_G54,155,453.9,,
282,7/25/24,2024,Cont,03,Both,05,W,54,2024_Cont03_Both05_W54,238.1,626.2,,
548,7/25/24,2024,Warm,03,Cont,05,G,54,2024_Warm03_Cont05_G54,185.6,440,,
597,7/25/24,2024,Hyp,03,Warm,05,B,54,2024_Hyp03_Warm05_B54,195.6,479.5,,
701,7/25/24,2024,Warm,03,Cont,05,G,54,2024_Warm03_Cont05_G54,185.6,440,,
702,7/25/24,2024,Cont,03,Cont,05,W,54,2024_Cont03_Cont05_W54,177.2,451.5,,
703,7/25/24,2024,Hyp,03,Cont,05,B,54,2024_Hyp03_Cont05_B54,209.6,533.9,,
704,7/25/24,2024,Both,03,Cont,05,O,54,2024_Both03_Cont05_O54,567.5,1332.6,,
916,7/25/24,2024,Hyp,03,Cont,05,B,54,2024_Hyp03_Cont05_B54,209.6,533.9,,
1032,7/25/24,2024,Hyp,03,Hyp,05,B,54,2024_Hyp03_Hyp05_B54,234.4,595.7,,
1046,7/25/24,2024,Warm,03,Hyp,05,G,54,2024_Warm03_Hyp05_G54,161.9,418.8,,
1047,7/25/24,2024,Cont,03,Hyp,05,W,54,2024_Cont03_Hyp05_W54,184.1,459.4,,
1048,7/25/24,2024,Hyp,03,Hyp,05,B,54,2024_Hyp03_Hyp05_B54,234.4,595.7,,
1049,7/25/24,2024,Both,03,Hyp,05,O,54,2024_Both03_Hyp05_O54,404.3,1029.7,,
1356,7/25/24,2024,Hyp,03,Warm,05,B,54,2024_Hyp03_Warm05_B54,195.6,479.5,,
1357,7/25/24,2024,Warm,03,Warm,05,G,54,2024_Warm03_Warm05_G54,202,563.9,,
1358,7/25/24,2024,Both,03,Warm,05,O,54,2024_Both03_Warm05_O54,189.2,566.1,,
1359,7/25/24,2024,Cont,03,Warm,05,W,54,2024_Cont03_Warm05_W54,361.1,897.3,,
145,7/25/24,2024,Hyp,03,Both,05,B,53,2024_Hyp03_Both05_B53,111.8,299.6,,
154,7/25/24,2024,Both,03,Both,05,O,53,2024_Both03_Both05_O53,126.4,306.9,,
155,7/25/24,2024,Cont,03,Both,05,W,53,2024_Cont03_Both05_W53,126.1,307,,
275,7/25/24,2024,Hyp,03,Both,05,B,53,2024_Hyp03_Both05_B53,111.8,299.6,,
276,7/25/24,2024,Both,03,Both,05,O,53,2024_Both03_Both05_O53,126.4,306.9,,
277,7/25/24,2024,Cont,03,Both,05,W,53,2024_Cont03_Both05_W53,126.1,307,,
278,7/25/24,2024,Warm,03,Both,05,G,53,2024_Warm03_Both05_G53,176.8,479.9,,
335,7/25/24,2024,Both,03,Warm,05,O,53,2024_Both03_Warm05_O53,137.2,387.9,,
556,7/25/24,2024,Hyp,03,Warm,05,B,53,2024_Hyp03_Warm05_B53,189,442.8,,
599,7/25/24,2024,Warm,03,Both,05,G,53,2024_Warm03_Both05_G53,176.8,479.9,,
682,7/25/24,2024,Both,03,Cont,05,O,53,2024_Both03_Cont05_O53,87.9,221,,
683,7/25/24,2024,Cont,03,Cont,05,W,53,2024_Cont03_Cont05_W53,133.2,356.5,,
699,7/25/24,2024,Warm,03,Cont,05,G,53,2024_Warm03_Cont05_G53,169.3,495.9,,
700,7/25/24,2024,Hyp,03,Cont,05,B,53,2024_Hyp03_Cont05_B53,227.3,590.7,,
909,7/25/24,2024,Cont,03,Warm,05,W,53,2024_Cont03_Warm05_W53,234.2,530.6,,
1017,7/25/24,2024,Both,03,Hyp,05,O,53,2024_Both03_Hyp05_O53,172.1,435.9,,
1023,7/25/24,2024,Warm,03,Warm,05,G,53,2024_Warm03_Warm05_G53,243.1,593.9,,
1043,7/25/24,2024,Hyp,03,Hyp,05,B,53,2024_Hyp03_Hyp05_B53,233.5,605.8,,
1044,7/25/24,2024,Cont,03,Hyp,05,W,53,2024_Cont03_Hyp05_W53,368.4,829,,
1045,7/25/24,2024,Warm,03,Hyp,05,G,53,2024_Warm03_Hyp05_G53,343.6,1022.7,,
1352,7/25/24,2024,Both,03,Warm,05,O,53,2024_Both03_Warm05_O53,137.2,387.9,,
1353,7/25/24,2024,Hyp,03,Warm,05,B,53,2024_Hyp03_Warm05_B53,189,442.8,,
1354,7/25/24,2024,Cont,03,Warm,05,W,53,2024_Cont03_Warm05_W53,234.2,530.6,,
1355,7/25/24,2024,Warm,03,Warm,05,G,53,2024_Warm03_Warm05_G53,243.1,593.9,,
271,7/25/24,2024,Warm,02,Both,05,G,52,2024_Warm02_Both05_G52,174.9,423.6,,
272,7/25/24,2024,Hyp,02,Both,05,B,52,2024_Hyp02_Both05_B52,171.3,451,,
273,7/25/24,2024,Both,02,Both,05,O,52,2024_Both02_Both05_O52,228,513.9,,
274,7/25/24,2024,Cont,02,Both,05,W,52,2024_Cont02_Both05_W52,247.6,604.2,,
334,7/25/24,2024,Both,02,Cont,05,O,52,2024_Both02_Cont05_O52,147.1,387.7,,
679,7/25/24,2024,Cont,02,Cont,05,W,52,2024_Cont02_Cont05_W52,128.5,290.8,,
680,7/25/24,2024,Both,02,Cont,05,O,52,2024_Both02_Cont05_O52,147.1,387.7,,
681,7/25/24,2024,Warm,02,Cont,05,G,52,2024_Warm02_Cont05_G52,328.5,910.2,,
1013,7/25/24,2024,Hyp,02,Hyp,05,B,52,2024_Hyp02_Hyp05_B52,158.6,345.7,,
1014,7/25/24,2024,Both,02,Hyp,05,O,52,2024_Both02_Hyp05_O52,174.4,407.3,,
1015,7/25/24,2024,Cont,02,Hyp,05,W,52,2024_Cont02_Hyp05_W52,201.5,499.7,,
1016,7/25/24,2024,Warm,02,Hyp,05,G,52,2024_Warm02_Hyp05_G52,297.8,811.3,,
1041,7/25/24,2024,Cont,02,Both,05,W,52,2024_Cont02_Both05_W52,247.6,604.2,,
1348,7/25/24,2024,Hyp,02,Warm,05,B,52,2024_Hyp02_Warm05_B52,99.8,265.7,,
1349,7/25/24,2024,Warm,02,Warm,05,G,52,2024_Warm02_Warm05_G52,136.3,333.4,,
1350,7/25/24,2024,Both,02,Warm,05,O,52,2024_Both02_Warm05_O52,301.7,770.5,,
1351,7/25/24,2024,Cont,02,Warm,05,W,52,2024_Cont02_Warm05_W52,346.8,791.3,,
267,7/25/24,2024,Both,02,Both,05,O,51,2024_Both02_Both05_O51,127.2,320.8,,
268,7/25/24,2024,Cont,02,Both,05,W,51,2024_Cont02_Both05_W51,250.4,568.9,,
269,7/25/24,2024,Hyp,02,Both,05,B,51,2024_Hyp02_Both05_B51,227.9,592.8,wet,
270,7/25/24,2024,Warm,02,Both,05,G,51,2024_Warm02_Both05_G51,233.1,620.1,,
346,7/25/24,2024,Warm,02,Cont,05,G,51,2024_Warm02_Cont05_G51,149.3,392.3,,
565,7/25/24,2024,Cont,02,Hyp,05,W,51,2024_Cont02_Hyp05_W51,171.8,446.9,,
610,7/25/24,2024,Cont,02,Cont,05,W,51,2024_Cont02_Cont05_W51,197.4,483.4,,
675,7/25/24,2024,Both,02,Cont,05,O,51,2024_Both02_Cont05_O51,149.1,345.6,,
676,7/25/24,2024,Warm,02,Cont,05,G,51,2024_Warm02_Cont05_G51,149.3,392.3,,
677,7/25/24,2024,Cont,02,Cont,05,W,51,2024_Cont02_Cont05_W51,197.4,483.4,,
678,7/25/24,2024,Hyp,02,Cont,05,B,51,2024_Hyp02_Cont05_B51,249.7,646.9,,
1009,7/25/24,2024,Both,02,Hyp,05,O,51,2024_Both02_Hyp05_O51,41,106.9,,
1010,7/25/24,2024,Hyp,02,Hyp,05,B,51,2024_Hyp02_Hyp05_B51,132.2,408.1,,
1011,7/25/24,2024,Cont,02,Hyp,05,W,51,2024_Cont02_Hyp05_W51,171.8,446.9,,
1012,7/25/24,2024,Warm,02,Hyp,05,G,51,2024_Warm02_Hyp05_G51,253.8,592.3,,
1018,7/25/24,2024,Hyp,02,Both,05,B,51,2024_Hyp02_Both05_B51,227.9,592.8,wet,
1130,7/25/24,2024,Hyp,02,Cont,05,B,51,2024_Hyp02_Cont05_B51,249.7,646.9,,
1344,7/25/24,2024,Both,02,Warm,05,O,51,2024_Both02_Warm05_O51,64.3,170.8,,
1345,7/25/24,2024,Cont,02,Warm,05,W,51,2024_Cont02_Warm05_W51,164.5,425.9,,
