Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_pre,Dry_weight_pre,Notes
138,5312024,2024,Both,06,null,null,O,42,2024_Both06_Null_O42,36.6,103.2,
139,5312024,2024,Both,06,null,null,O,43,2024_Both06_Null_O43,37.2,108.7,
140,5312024,2024,Both,06,null,null,O,44,2024_Both06_Null_O44,48.5,130.3,
141,5312024,2024,Both,06,null,null,O,45,2024_Both06_Null_O45,24.2,76.2,
142,5312024,2024,Both,06,null,null,O,46,2024_Both06_Null_O46,32.2,126.3,
143,5312024,2024,Both,06,null,null,O,47,2024_Both06_Null_O47,32.9,90.9,
144,5312024,2024,Both,06,null,null,O,48,2024_Both06_Null_O48,26.9,79.5,
145,5312024,2024,Both,01,null,null,O,98,2024_Both1_Null_O98,38.6,105,"#8 fell off, replaced with #98 instead"
146,5312024,2024,Cont,01,null,null,W,1,2024_Cont01_Null_W1,47.4,134.7,
147,5312024,2024,Cont,01,null,null,W,2,2024_Cont01_Null_W2,53.8,156.2,
148,5312024,2024,Cont,01,null,null,W,3,2024_Cont01_Null_W3,47.6,128.8,
149,5312024,2024,Cont,01,null,null,W,4,2024_Cont01_Null_W4,47.7,137.1,
150,5312024,2024,Cont,01,null,null,W,5,2024_Cont01_Null_W5,47.3,121,
151,5312024,2024,Cont,01,null,null,W,6,2024_Cont01_Null_W6,37.6,114.4,
152,5312024,2024,Cont,01,null,null,W,7,2024_Cont01_Null_W7,44.7,118.9,
153,5312024,2024,Cont,01,null,null,W,8,2024_Cont01_Null_W8,26.1,83.3,
154,5312024,2024,Cont,02,null,null,W,9,2024_Cont02_Null_W9,64.8,183.7,
155,5312024,2024,Cont,02,null,null,W,10,2024_Cont02_Null_W10,25.5,68.9,
156,5312024,2024,Cont,02,null,null,W,11,2024_Cont02_Null_W11,39.2,107.5,
157,5312024,2024,Cont,02,null,null,W,12,2024_Cont02_Null_W12,29.6,89.1,
158,5312024,2024,Cont,02,null,null,W,13,2024_Cont02_Null_W13,33.4,89.4,
159,5312024,2024,Cont,02,null,null,W,14,2024_Cont02_Null_W14,33.5,102.6,
160,5312024,2024,Cont,02,null,null,W,15,2024_Cont02_Null_W15,19.5,56.1,
161,5312024,2024,Cont,02,null,null,W,16,2024_Cont02_Null_W16,34.6,103.1,
162,5312024,2024,Cont,03,null,null,W,17,2024_Cont03_Null_W17,38.1,94.9,
163,5312024,2024,Cont,03,null,null,W,18,2024_Cont03_Null_W18,10.2,33.1,
164,5312024,2024,Cont,03,null,null,W,19,2024_Cont03_Null_W19,26.6,67.7,
165,5312024,2024,Cont,03,null,null,W,20,2024_Cont03_Null_W20,51.9,145.6,
166,5312024,2024,Cont,03,null,null,W,21,2024_Cont03_Null_W21,36.9,101.5,
167,5312024,2024,Cont,03,null,null,W,22,2024_Cont03_Null_W22,25.4,75.8,
168,5312024,2024,Cont,03,null,null,W,23,2024_Cont03_Null_W23,31,80.7,
169,5312024,2024,Cont,03,null,null,W,24,2024_Cont03_Null_W24,54.1,157.4,
170,5312024,2024,Cont,04,null,null,W,25,2024_Cont04_Null_W25,24.7,69.2,
171,5312024,2024,Cont,04,null,null,W,26,2024_Cont04_Null_W26,41,105.7,
172,5312024,2024,Cont,04,null,null,W,27,2024_Cont04_Null_W27,34.1,95,
173,5312024,2024,Cont,04,null,null,W,28,2024_Cont04_Null_W28,27.8,81.2,
174,5312024,2024,Cont,04,null,null,W,29,2024_Cont04_Null_W29,24.7,60,
175,5312024,2024,Cont,04,null,null,W,30,2024_Cont04_Null_W30,43.6,114.8,
176,5312024,2024,Cont,04,null,null,W,31,2024_Cont04_Null_W31,42.2,120.2,
177,5312024,2024,Cont,04,null,null,W,32,2024_Cont04_Null_W32,43.6,131.5,
178,5312024,2024,Cont,05,null,null,W,33,2024_Cont05_Null_W33,30,123.1,
179,5312024,2024,Cont,05,null,null,W,34,2024_Cont05_Null_W34,72.1,219.1,still wet
180,5312024,2024,Cont,05,null,null,W,35,2024_Cont05_Null_W35,23.5,70.8,
181,5312024,2024,Cont,05,null,null,W,36,2024_Cont05_Null_W36,27.1,68.5,
182,5312024,2024,Cont,05,null,null,W,37,2024_Cont05_Null_W37,37,109.5,little muck
183,5312024,2024,Cont,05,null,null,W,38,2024_Cont05_Null_W38,29.2,83.4,
184,5312024,2024,Cont,05,null,null,W,39,2024_Cont05_Null_W39,25.5,65.8,
185,5312024,2024,Cont,05,null,null,W,40,2024_Cont05_Null_W40,42.5,129.6,
186,5312024,2024,Cont,06,null,null,W,41,2024_Cont06_Null_W41,34.2,112.3,
187,5312024,2024,Cont,06,null,null,W,42,2024_Cont06_Null_W42,18,51.3,
188,5312024,2024,Cont,06,null,null,W,43,2024_Cont06_Null_W43,46,151.2,
189,5312024,2024,Cont,06,null,null,W,44,2024_Cont06_Null_W44,22.5,62.1,
190,5312024,2024,Cont,06,null,null,W,45,2024_Cont06_Null_W45,12,43.5,
191,5312024,2024,Cont,06,null,null,W,47,2024_Cont06_Null_W47,46.1,121.5,
192,5312024,2024,Cont,06,null,null,W,48,2024_Cont06_Null_W48,32.6,94.6,
